Wolof,ajami
yar,يار
lawal,لاوال
taawfeex,تااوفەەخ
aymatukaay,ايماتوكااي
biirak,بييراك
bitim,بيتيم
doxal,دوخال
fépp,فێپپ
anam,انام
wér,وێر
sosoo,سوسوو
i,ي
mbootaay,مبووتااي
gox,گوخ
bootu,بووتو
ñoom,ڽوم
ndakaaru,نداكاارو
fimne,فيمنە
péyu,پێيو
reewum,رەەووم
barug,باروگ
senegaal,سەنەگاال
akit,اكيت
goxub,گوخوب
tolluwaayam,توللوواايام
péeteg,پێەتەگ
sowwu,سوووو
afrig,افريگ
jegeem,جەگەەم
daanaka,دااناكا
dun,دون
kap,كاپ
wert,وەرت
waral,وارال
sancug,سانچوگ
notaakon,نوتااكون
jëkk,جێكك
yaxantu,ياخانتو
bees,بەەس
ame,امە
peetewaayu,پەەتەواايو
ngëneel,ڠێنەەل
jëflanteg,جێفلانتەگ
cosaani,چوسااني
saa,ساا
tugal,توگال
lees,لەەس
taxawalee,تاخاوالەە
woon,ووون
xumbalu,خومبالو
àddina,اددينا
fànni,فانني
ñuule,ڽوولە
jaam,جاام
njëkk,نجێكك
xalaatu,خالااتو
leopool,لەوپوول
sedaar,سەداار
sengoor,سەڠوور
atum,اتوم
danuy,دانوي
juddu,جوددو
xelam,خەلام
war,وار
jëflante,جێفلانتە
nawleen,ناولەەن
teg,تەگ
mbokk,مبوكك
xeej,خەەج
rawatina,راواتينا
melo,مەلو
awra,اورا
làkk,لاكك
diiné,ديينێ
peete,پەەتە
politig,پوليتيگ
mbaa,مباا
askan,اسكان
woo,ووو
ti,تي
alal,الال
doon,دوون
rax,راخ
dolli,دوللي
doxalin,دوخالين
wu,وو
soo,سوو
xamne,خامنە
ki,كي
cosaanoo,چوساانوو
soosu,سووسو
moom,مووم
boppam,بوپپام
walla,واللا
deet,دەەت
yamale,يامالە
yengu,يەڠو
yëngoom,يێڠووم
népp,نێپپ
kanamu,كانامو
woowu,ووووو
luy,لوي
liñu,ليڽو
tënk,تێنك
bepp,بەپپ
yëngu,يێڠو
gëngu,گێڠو
buy,بوي
par,پار
parloo,پارلوو
berebi,بەرەبي
kaay,كااي
reewam,رەەوام
yoo,يوو
dëppook,دێپپووك
sàrti,سارتي
réewam,رێەوام
mba,مبا
warula,وارولا
xuus,خووس
dundinu,دوندينو
njabootam,نجابووتام
jëm,جێم
këram,كێرام
mengóok,مەڠۆوك
damm,دامم
jarajaam,جاراجاام
buñu,بوڽو
jalgatee,جالگاتەە
yii,ييي
kune,كونە
igéen,يگێەن
jóor,جۆور
matee,ماتەە
xaaj,خااج
waaso,وااسو
sëy,سێي
sos,سوس
njaboot,نجابووت
balaa,بالاا
ñuy,ڽوي
sëey,سێەي
tasee,تاسەە
menunuko,مەنونوكو
fas,فاس
xanaa,خاناا
jiitu,جييتو
way,واي
dencante,دەنچانتە
joxe,جوخە
xalaatam,خالااتام
waxam,واخام
yooyule,يوويولە
menuko,مەنوكو
ce,چە
bundu,بوندو
xatal,خاتال
gëstu,گێستو
wasare,واسارە
xabaaraki,خابااراكي
jumtukaay,جومتوكااي
men,مەن
jefandikóo,جەفانديكۆو
diineem,ديينەەم
ngëmam,ڠێمام
feeñal,فەەڽال
mbooloo,مبوولوو
doww,دووو
fu,فو
daje,داجە
jarali,جارالي
njàngale,نجاڠالە
jëf,جێف
jaamu,جاامو
xarbaax,خاربااخ
ñiy,ڽيي
mbiri,مبيري
teewal,تەەوال
yabal,يابال
ab,اب
ndaw,نداو
pasu,پاسو
cëslaay,چێسلااي
gile,گيلە
feeñ,فەەڽ
palin,پالين
yiw,ييو
wara,وارا
amal,امال
léeg,لێەگ
tannin,تاننين
sutura,سوتورا
topp,توپپ
andak,انداك
taw,تاو
feex,فەەخ
pal,پال
giru,گيرو
dundam,دوندام
sedd,سەدد
koom,كووم
koomam,كوومام
dundinam,دوندينام
aadaam,ااداام
maanaa,مااناا
yookkute,يووككوتە
darajaam,داراجاام
loolu,لوولو
nag,ناگ
dooleem,دوولەەم
méngook,مێڠووك
tërërin,تێرێرين
amu,امو
pay,پاي
yellool,يەللوول
koo,كوو
njabbotam,نجاببوتام
yellook,يەللووك
mottaliku,موتتاليكو
yeneeni,يەنەەني
pexe,پەخە
mënee,مێنەە
dundingu,دونديڠو
yamamaay,يامامااي
yaramam,يارامام
raataageem,رااتااگەەم
col,چول
dëkkuwaay,دێككووااي
paj,پاج
bépp,بێپپ
farata,فاراتا
liggeeyatul,ليگگەەياتول
feebaree,فەەبارەە
laago,لااگو
ñàkk,ڽاكك
saxnaam,ساخناام
sërinam,سێرينام
màgget,ماگگەت
suturloo,سوتورلوو
dul,دول
cootareem,چووتارەەم
beral,بەرال
dimbali,ديمبالي
tollu,توللو
gune,گونە
judduwul,جوددووول
benn,بەنن
buñ,بوڽ
aare,اارە
waruñu,واروڽو
fayaku,فاياكو
bon,بون
suufe,سووفە
xarala,خارالا
nanu,نانو
wasaare,واساارە
kawe,كاوە
ubbil,وببيل
yelloo,يەللوو
naataange,نااتااڠە
ddoomi,ددوومي
aki,اكي
tawfeexam,تاوفەەخام
wat,وات
déggóo,دێگگۆو
yokkute,يوككوتە
sax,ساخ
dépp,دێپپ
caaday,چااداي
wi,وي
bànneexu,باننەەخو
cu,چو
suqali,سوقالي
ciy,چيي
meñ,مەڽ
wareef,وارەەف
digganteem,ديگگانتەەم
dëkkandoom,دێككاندووم
ya,يا
awfeexam,اوفەەخام
sallook,ساللووك
nawleem,ناولەەم
léepp,لێەپپ
teey,تەەي
fànn,فانن
warul,وارول
yàq,ياق
njàggat,نجاگگات
génnee,گێننەە
feeñale,فەەڽالە
yëgg,يێگگ
ñeewant,ڽەەوانت
gis,گيس
jaare,جاارە
mbind,مبيند
bindiin,بينديين
rafet,رافەت
wuute,وووتە
moo,موو
woy,ووي
maanaam,مااناام
poesie,پوەسيە
wesar,وەسار
bind,بيند
nos,نوس
safaanub,سافاانوب
nqg,نقگ
bunt,بونت
man,مان
génne,گێننە
manul,مانول
geneen,گەنەەن
day,داي
takku,تاككو
dëgër,دێگێر
dëggi,دێگگي
njuréef,نجورێەف
ngérte,ڠێرتە
juddoo,جوددوو
caada,چاادا
ja,جا
ca,چا
dencu,دەنچو
wattuwu,واتتووو
melokaani,مەلوكااني
peeñ,پەەڽ
peeñam,پەەڽام
kem,كەم
ni,ني
wuutee,وووتەە
jamono,جامونو
ju,جو
tam,تام
soppiku,سوپپيكو
da,دا
sosu,سوسو
akug,اكوگ
xeetu,خەەتو
làmmiñ,لامميڽ
ngànnaay,ڠاننااي
paaka,پااكا
balay,بالاي
ñaw,ڽاو
daas,دااس
jariñoowul,جاريڽوووول
mel,مەل
xumaag,خومااگ
tubaab,توبااب
ñëwee,ڽێوەە
mépp,مێپپ
yore,يورە
làmmiñu,لامميڽو
taxoon,تاخوون
sunu,سونو
des,دەس
ginnaaw,گيننااو
daan,داان
loo,لوو
dundale,دوندالە
anjaboot,انجابووت
weneen,وەنەەن
jaar,جاار
sàggane,ساگگانە
caagéenu,چااگێەنو
cee,چەە
waxe,واخە
aw,او
jëfandikukaay,جێفانديكوكااي
boo,بوو
tudd,تودد
gàtt,گاتت
gàttul,گاتتول
kiy,كيي
jàngam,جاڠام
gisu,گيسو
àddunaam,اددوناام
foofu,فووفو
demee,دەمەە
sam,سام
leneen,لەنەەن
dina,دينا
baat,باات
yenu,يەنو
cosaan,چوساان
waxoon,واخوون
cuq,چوق
tuuti,تووتي
defe,دەفە
yéen,يێەن
ngeen,ڠەەن
xamub,خاموب
làmmiñal,لامميڽال
de,دە
saussure,ساوسسورە
boroom,بوروم
wone,وونە
tay,تاي
dañoo,داڽوو
daal,داال
yanu,يانو
seeni,سەەني
coow,چووو
génn,گێنن
gémmiñ,گێمميڽ
kepp,كەپپ
menn,مەنن
amoon,اموون
wenn,وەنن
kon,كون
jug,جوگ
nenn,نەنن
lañu,لاڽو
tudde,توددە
tur,تور
jéeri,جێەري
ji,جي
màgg,ماگگ
doonte,دوونتە
nun,نون
nekke,نەككە
soppikuwul,سوپپيكووول
soppikoo,سوپپيكوو
faral,فارال
yeex,يەەخ
doj,دوج
ron,رون
mujj,موجج
lemu,لەمو
yékkatiku,يێككاتيكو
jiyoloji,جييولوجي
ñooy,ڽووي
càllalay,چاللالاي
yees,يەەس
nak,ناك
mbalaanum,مبالاانوم
ngelaw,ڠەلاو
wër,وێر
si,سي
sori,سوري
liy,ليي
néew,نێەو
doole,دوولە
amadi,امادي
fàddu,فاددو
fukki,فوككي
culómet,چولۆمەت
cig,چيگ
séddale,سێددالە
jawwu,جاووو
goxi,گوخي
tegaloo,تەگالوو
ami,امي
jagley,جاگلەي
fatt,فاتت
tal,تال
féete,فێەتە
ngelawam,ڠەلاوام
niir,نيير
mbooleem,مبوولەەم
soppaxndikuy,سوپپاخنديكوي
jege,جەگە
ëpp,ێپپ
ag,اگ
jeexiital,جەەخييتال
wàllug,واللوگ
kaw,كاو
kilimã,كيليما
séddalikoo,سێدداليكوو
yolom,يولوم
tiim,تييم
yëngoodi,يێڠوودي
iyon,ييون
jawwsu,جاووسو
dogiit,دوگييت
kurãal,كوراال
nu,نو
mbëjjal,مبێججال
soreente,سورەەنتە
biti,بيتي
féex,فێەخ
joyoo,جويوو
sëkk,سێكك
dëggër,دێگگێر
dëggu,دێگگو
sariya,سارييا
xaj,خاج
badd,بادد
ñi,ڽي
jaamloog,جااملووگ
njaayum,نجاايوم
tere,تەرە
set,سەت
setal,سەتال
garabu,گارابو
yaram,يارام
mbedd,مبەدد
naxari,ناخاري
tàngayu,تاڠايو
firndé,فيرندێ
febar,فەبار
baxal,باخال
faju,فاجو
kàttan,كاتتان
ligeeyu,ليگەەيو
garab,گاراب
nuy,نوي
bitik,بيتيك
dait,دايت
saaye,ساايە
liggéeyu,ليگگێەيو
nite,نيتە
jëfandikoo,جێفانديكوو
xibaar,خيباار
internet,ينتەرنەت
leer,لەەر
ñëpp,ڽێپپ
karange,كاراڠە
dunu,دونو
sàmm,سامم
sañu,ساڽو
jokkoo,جوككوو
aada,اادا
bénn,بێنن
bés,بێس
taxawaal,تاخاواال
sàkkal,ساككال
njariñ,نجاريڽ
jant,جانت
duus,دووس
ñax,ڽاخ
àll,الل
wicce,ويچچە
maam,ماام
nettali,نەتتالي
xewoon,خەووون
yàgg,ياگگ
ga,گا
yoonu,يوونو
dox,دوخ
réewu,رێەوو
boox,بووخ
yaatu,يااتو
yeenen,يەەنەن
ndar,ندار
thiès,تهيێس
nawet,ناوەت
njiit,نجييت
waajal,وااجال
tool,توول
mbaye,مبايە
dugub,دوگوب
mboq,مبوق
mbéer,مبێەر
asamaan,اساماان
xiin,خيين
bari,باري
ngoon,ڠوون
bëj,بێج
gànnaar,گانناار
saalum,ساالوم
penku,پەنكو
soow,سووو
téere,تێەرە
dafa,دافا
fëss,فێسس
dundu,دوندو
bërëb,بێرێب
kocc,كوچچ
koccam,كوچچام
ràkkal,راككال
guddi,گوددي
xat,خات
weere,وەەرە
biddiiw,بيددييو
nànn,نانن
melokan,مەلوكان
xarit,خاريت
fit,فيت
ragalu,راگالو
këru,كێرو
doktoor,دوكتوور
fees,فەەس
mbeur,مبەور
nàññ,ناڽڽ
picc,پيچچ
fafadu,فافادو
tel,تەل
muus,مووس
fo,فو
tëdd,تێدد
nelaw,نەلاو
butik,بوتيك
feem,فەەم
suukër,سووكێر
kafe,كافە
meew,مەەو
bër,بێر
sàmbaxu,سامباخو
mbaxane,مباخانە
goor,گوور
dunde,دوندە
gaaw,گااو
sàkk,ساكك
bëy,بێي
degeër,دەگەێر
tàll,تالل
kuddu,كوددو
poybar,پويبار
xorom,خوروم
waañ,وااڽ
lal,لال
wetu,وەتو
ordinatër,ورديناتێر
tàng,تاڠ
and,اند
pënd,پێند
xala,خالا
saint,ساينت
louis,لوويس
seeti,سەەتي
yaay,ياي
fenk,فەنك
awa,اوا
jóg,جۆگ
dal,دال
ubbi,وببي
tàmbali,تامبالي
addina,اددينا
yëg,يێگ
dafay,دافاي
ndaxte,نداختە
mëna,مێنا
jàngul,جاڠول
togg,توگگ
gannaaw,گاننااو
téereem,تێەرەەم
wolof,وولوف
boobu,بووبو
sell,سەلل
rëgle,رێگلە
ndànk,ندانك
jéem,جێەم
yaayam,ياايام
jàngal,جاڠال
noonu,نوونو
jàngukaay,جاڠوكااي
ñépp,ڽێپپ
farãse,فاراسە
kàddu,كاددو
dugg,دوگگ
xolam,خولام
jàngukat,جاڠوكات
dégg,دێگگ
delloo,دەللوو
jàngati,جاڠاتي
jàngoon,جاڠوون
noppi,نوپپي
magam,ماگام
toog,تووگ
kayit,كاييت
laaj,لااج
lan,لان
tontu,تونتو
bindul,بيندول
dinañu,ديناڽو
fàtte,فاتتە
jéggi,جێگگي
bindam,بيندام
xaritam,خاريتام
yenn,يەنن
itam,يتام
at,ات
jàngale,جاڠالە
dogal,دوگال
fanaan,فاناان
fajar,فاجار
yewwu,يەووو
sëq,سێق
ràmm,رامم
yeekati,يەەكاتي
mbeemba,مبەەمبا
bëkk,بێكك
jeri,جەري
tàkkal,تاككال
matt,ماتت
ràbbal,راببال
añ,اڽ
bandoo,باندوو
sàcc,ساچچ
sàccal,ساچچال
kàcciri,كاچچيري
saal,ساال
yof,يوف
woor,ووور
lëf,لێف
u,و
dell,دەلل
jayeekat,جايەەكات
tàllal,تاللال
lëgëm,لێگێم
buraas,بورااس
tàndarma,تاندارما
rën,رێن
sàwwe,ساووە
tàllalu,تاللالو
weccet,وەچچەت
waxale,واخالە
woto,ووتو
bajj,باجج
saret,سارەت
riir,ريير
jëndkat,جێندكات
tànn,تانن
bég,بێگ
yaakaar,يااكاار
joll,جولل
naat,ناات
mbayum,مبايوم
gór,گۆر
góob,گۆوب
denc,دەنچ
xeer,خەەر
kàgu,كاگو
dundaay,دوندااي
bawoo,باووو
boye,بويە
lonkotoo,لونكوتوو
nattal,ناتتال
mbaar,مباار
njiitu,نجييتو
dénd,دێند
dajalo,داجالو
taax,تااخ
jaay,جااي
barke,باركە
lëmm,لێمم
siw,سيو
bëccëg,بێچچێگ
naaj,نااج
gental,گەنتال
woyu,وويو
magg,ماگگ
sër,سێر
añu,اڽو
sës,سێس
jaaykat,جاايكات
bégte,بێگتە
sore,سورە
wàcc,واچچ
toolu,توولو
meññeef,مەڽڽەەف
coonoyu,چوونويو
sàmmkat,ساممكات
dajaloo,داجالوو
waxtaan,واختاان
mbay,مباي
gudd,گودد
tàppu,تاپپو
tàmbureet,تامبورەەت
sàqami,ساقامي
toggu,توگگو
ràbbu,راببو
bërëbu,بێرێبو
dex,دەخ
soti,سوتي
diwtiir,ديوتيير
daxar,داخار
sàqu,ساقو
ndajoo,نداجوو
wëru,وێرو
fondeg,فوندەگ
sàmpi,سامپي
taxaw,تاخاو
géléem,گێلێەم
sëtkat,سێتكات
xelli,خەللي
bitiku,بيتيكو
alif,اليف
laam,لاام
miim,مييم
sikk,سيكك
jub,جوب
guy,گوي
soxal,سوخال
ña,ڽا
gëm,گێم
kumpa,كومپا
farlu,فارلو
julli,جوللي
xéewale,خێەوالە
wàcce,واچچە
yaw,ياو
amug,اموگ
wóolu,وۆولو
dikkug,ديككوگ
bis,بيس
pénc,پێنچ
ñooñoo,ڽووڽوو
njub,نجوب
tukkee,توككەە
texe,تەخە
weddi,وەددي
waar,واار
yem,يەم
duñu,دوڽو
nopp,نوپپ
muuraay,موورااي
gët,گێت
mbugal,مبوگال
dana,دانا
gëmuñu,گێموڽو
naxuñu,ناخوڽو
yëguñu,يێگوڽو
jàngoroo,جاڠوروو
gog,گوگ
sikki,سيككي
ug,وگ
naaféq,ناافێق
faf,فاف
yokk,يوكك
jàngoro,جاڠورو
seenug,سەەنوگ
defar,دەفار
lanu,لانو
déedéet,دێەدێەت
ñooña,ڽووڽا
kat,كات
gëmleen,گێملەەن
gëmee,گێمەە
dof,دوف
diy,ديي
xamuñu,خاموڽو
dajeek,داجەەك
wéetee,وێەتەە
séytaane,سێيتاانە
nook,نووك
yejji,يەججي
jullit,جولليت
yàllaa,ياللاا
yàggal,ياگگال
mbeewte,مبەەوتە
googu,گووگو
ngumbaag,ڠومبااگ
jënde,جێندە
njaay,نجااي
mooma,مووما
tono,تونو
gindikuwuñu,گينديكوووڽو
niróole,نيرۆولە
taal,تاال
taalamn,تاالامن
janeer,جانەەر
leeraale,لەەراالە
fay,فاي
bàyyi,باييي
lëndëm,لێندێم
gisatuñu,گيساتوڽو
s,س
tëx,تێخ
luu,لوو
gumba,گومبا
dellusi,دەللوسي
niróolee,نيرۆولەە
deme,دەمە
waame,واامە
dënnu,دێننو
melax,مەلاخ
saañ,سااڽ
waaroom,واارووم
bañ,باڽ
dee,دەە
aji,اجي
peeg,پەەگ
yéefar,يێەفار
xaw,خاو
yuri,يوري
leeralee,لەەرالەە
lëndëmee,لێندێمەە
neexoon,نەەخوون
tëxloo,تێخلوو
gumbaloo,گومبالوو
kàttanu,كاتتانو
jaamuleen,جاامولەەن
fegu,فەگو
mbugalam,مبوگالام
laltaay,لالتااي
téeg,تێەگ
wàcceel,واچچەەل
jóge,جۆگە
meññeent,مەڽڽەەنت
wërsëgal,وێرسێگال
moroom,مورووم
xéll,خێلل
jaaduwul,جاادووول
sàkka,ساككا
indileen,ينديلەەن
saar,ساار
alxuraan,الخوراان
ñaanleen,ڽاانلەەن
jaamuwuleen,جاامووولەەن
ndegam,ندەگام
deful,دەفول
mukk,موكك
safara,سافارا
xamb,خامب
xaaroo,خااروو
bégal,بێگال
xamal,خامال
àjjana,اججانا
joo,جوو
ngay,ڠاي
daw,داو
suufam,سووفام
xéewalee,خێەوالەە
meññeet,مەڽڽەەت
wërsëgale,وێرسێگالە
dey,دەي
masoon,ماسوون
xéewlu,خێەولو
fekk,فەكك
nurook,نورووك
xamoon,خاموون
ñeel,ڽەەل
jooju,جووجو
jabar,جابار
soxna,سوخنا
yuñu,يوڽو
laabal,لاابال
ayib,اييب
béel,بێەل
kersawu,كەرساوو
misaal,ميساال
namm,نامم
léebu,لێەبو
wii,ويي
réeral,رێەرال
jubal,جوبال
saay,سااي
r,ر
firi,فيري
kóllareg,كۆللارەگ
fasoo,فاسوو
dog,دوگ
digle,ديگلە
jokkale,جوككالە
yàqule,ياقولە
weddee,وەددەە
doonoon,دوونوون
rey,رەي
dekkalaat,دەككالاات
dellu,دەللو
daldi,دالدي
jublu,جوبلو
juróoom,جورۆووم
ñaari,ڽااري
fàttalikul,فاتتاليكول
malaaka,مالااكا
damaa,داماا
kilifa,كيليفا
kuutaay,كووتااي
toontu,توونتو
dangay,داڠاي
tuur,توور
dereet,دەرەەت
sàbbaal,سابباال
sant,سانت
màggal,ماگگال
turi,توري
lenn,لەنن
won,وون
yëf,يێف
tuddu,توددو
amunu,امونو
xereñ,خەرەڽ
xamalee,خامالەە
waxuloon,واخولوون
kumpag,كومپاگ
ñëbb,ڽێبب
fàttelikul,فاتتەليكول
nee,نەە
maalaaka,ماالااكا
sujjóotleen,سوججۆوتلەەن
sujjóot,سوججۆوت
ibliis,يبلييس
lànk,لانك
rëylu,رێيلو
dëkkal,دێككال
yaak,يااك
lekkee,لەككەە
neexee,نەەخەە
tooñ,تووڽ
tarxiisloo,تارخييسلوو
nekkoon,نەككوون
wàccleen,واچچلەەن
noonuwante,نوونووانتە
as,اس
ndiir,نديير
baati,بااتي
tuub,تووب
boroomam,بوروومام
jéggal,جێگگال
jéggalaakoon,جێگگالااكوون
jaglewaakoon,جاگلەوااكوون
dummóoyu,دوممۆويو
jàq,جاق
ëllëg,ێللێگ
fenloo,فەنلوو
sunuy,سونوي
tegtal,تەگتال
bani,باني
israayiil,يسراايييل
sëtoo,سێتوو
yanqooba,يانقووبا
fàttalikuleen,فاتتاليكولەەن
xéewal,خێەوال
léen,لێەن
xéewaloon,خێەوالوون
nangeen,ناڠەەن
matal,ماتال
kóllare,كۆللارە
danaa,داناا
gos,گوس
dëggal,دێگگال
samay,ساماي
laaya,لاايا
njëg,نجێگ
jaxase,جاخاسە
caaxaan,چااخاان
nëbb,نێبب
n,ن
fonk,فونك
asaka,اساكا
rukkoo,روككوو
jullig,جولليگ
jàkka,جاككا
digal,ديگال
dimbandikoo,ديمبانديكوو
diis,دييس
bokkul,بوككول
yànqooba,يانقووبا
defaloon,دەفالوون
bakkan,باككان
jariñ,جاريڽ
beneen,بەنەەن
nangul,ناڠول
rammu,راممو
njote,نجوتە
deesuleen,دەەسولەەن
musalee,موسالەە
firawna,فيراونا
tegoon,تەگوون
rendi,رەندي
nattu,ناتتو
réy,رێي
xaralee,خارالەە
musal,موسال
labal,لابال
gaa,گاا
jàkk,جاكك
dëelanteek,دێەلانتەەك
muusaa,مووساا
ñeen,ڽەەن
yëkk,يێكك
ginnaawam,گيننااوام
baal,باال
gërëm,گێرێم
joxee,جوخەە
yay,ياي
téqale,تێقالە
fen,فەن
gindiku,گينديكو
nitam,نيتام
samaw,ساماو
baalu,باالو
reyante,رەيانتە
bokkoon,بوككوون
moy,موي
looloo,لوولوو
xaacu,خااچو
fàdd,فادد
dekkal,دەككال
deewee,دەەوەە
keral,كەرال
gëméen,گێمێەن
dugguleen,دوگگولەەن
jàll,جالل
buntu,بونتو
toroxlu,توروخلو
ñaan,ڽاان
seppi,سەپپي
bàkkaar,باككاار
defee,دەفەە
ñaawtéef,ڽااوتێەف
dananu,دانانو
rafetal,رافەتال
tooñkat,تووڽكات
weccee,وەچچەە
wuuteek,وووتەەك
yooya,يوويا
diine,ديينە
sàkkul,ساككول
dóoral,دۆورال
yat,يات
bëti,بێتي
ñaar,ڽاار
ballee,باللەە
giir,گيير
naanee,ناانەە
lekkleen,لەككلەەن
xéewali,خێەوالي
mënatunoo,مێناتونوو
ñam,ڽام
ñaanal,ڽاانال
fuytéef,فويتێەف
xaal,خاال
sëb,سێب
soble,سوبلە
yées,يێەس
teeru,تەەرو
saddeef,ساددەەف
toroxte,توروختە
sóobu,سۆوبو
merum,مەروم
kàdduy,كاددوي
yonent,يونەنت
dayo,دايو
yahuud,ياهوود
nasraan,ناسراان
saabiina,ساابيينا
settantal,سەتتانتال
jàppoon,جاپپوون
muhammad,موهامماد
danañu,داناڽو
pey,پەي
tiit,تييت
jàppee,جاپپەە
yékkati,يێككاتي
jàppleen,جاپپلەەن
koon,كوون
yërmaandeem,يێرمااندەەم
wallaahi,واللااهي
gaawu,گااوو
ñooñu,ڽووڽو
nekkleen,نەككلەەن
beddi,بەددي
teew,تەەو
ñay,ڽاي
ñëwi,ڽێوي
waaraateb,واارااتەب
reyu,رەيو
ñaawal,ڽااوال
leeral,لەەرال
meloom,مەلووم
màggat,ماگگات
sëll,سێلل
diggdóomu,ديگگدۆومو
gel,گەل
dees,دەەس
beg,بەگ
laajal,لااجال
soobe,سووبە
jëfe,جێفە
ndigalam,نديگالام
bayloowul,بايلوووول
suuxat,سووخات
agsi,اگسي
xawoon,خاووون
reyee,رەيەە
jiiñante,جييڽانتە
dóorleen,دۆورلەەن
yàllay,ياللاي
dekkalee,دەككالەە
kéemaan,كێەماان
wow,ووو
wowaay,وووااي
ball,بالل
