attendu,predit,position,contexte_attendu,contexte_predit,Ajami,Wolof_attendu,Wolof_predit
i,y,2,nii ci y,niy ci y,"نيي چي يوون وي?» نوونو ڽو تاخاو, سەەن خول جەەخ.","nii ci yoon wi?» Noonu ñu taxaw, seen xol jeex.","niy ci yoon wi?» Noonu ñu taxaw, seex."
u,o,34, di buuxant, di booxant,"سەنەسارەت. مبوولوو ما وێر كو, دي بووخانتە ڠير دێگلو كاددوگ ياللا.","Senesaret. Mbooloo ma wër ko, di buuxante ngir déglu kàddug Yàlla.","senesaret. Mbooloo ma wér ko, di booxante ngir déglu Kàddug yàldag."
u,o,35,di buuxante,di booxante,"سەنەسارەت. مبوولوو ما وێر كو, دي بووخانتە ڠير دێگلو كاددوگ ياللا.","Senesaret. Mbooloo ma wër ko, di buuxante ngir déglu kàddug Yàlla.","senesaret. Mbooloo ma wér ko, di booxante ngir déglu Kàddug yàldag."
i,y,6,ëf yii leer,ëf yiy leer,"يێف ييي لەەر نا بوور بي, موو","Yëf yii leer na buur bi, moo","yëf yiy leer na buur bi, moo"
i,y,5,foofii,foofiy,فووفيي,foofii,foofiy
o,u,1,jollil ,yullil ,جولليل ندامو ياللا. نوونو يەەسو نە كو: «توپپال چي مان!»,jollil ndamu Yàlla. Noonu Yeesu ne ko: «Toppal ci man!»,yullil ndamu Yàlla. Noonu Yeesu ne ko: «Toppal ci man!»
u,o,18, ma ku ne Y, ma ko ne Y,ام چا مبوولوو ما كو نە يەەسو:,Am ca mbooloo ma ku ne Yeesu:,am ca mbooloo ma ko ne Yeesu:
o,u,35, lu moy jén, lu muy jén,"ڠەەن فەككسي ما چي لي ما نەكك, لو موي جێڠ ييي!»","ngeen fekksi ma ci li ma nekk, lu moy jéng yii!»","ngeen fekksi ma ci li ma nekk, lu muy jéng yii!»"
o,u,18," fa ko lew,"," fa ku lew,","پوول, مو دێكك فا كو لەو, مووم","Pool, mu dëkk fa ko lew, moom","Pool, mu dëkk fa ku lew, moom"
i,y,8,en yii yépp,en yiy yépp,ڠەەن ييي يێپپ? چي دێگگ ماا ڠي,ngeen yii yépp? Ci dëgg maa ngi,ngeen yiy yépp? Ci dëgg maa ngi
o,u,4,deewoon,deewun,دەەووون,deewoon,deewun
i,y,15,a ñu indil ,a ñu yindil,چا ڠوون سا ڽو ينديل كو ڽو,Ca ngoon sa ñu indil ko ñu,ca ngoon sa ñu yindil ko ñu
u,o,11,sut Suleyma,sut soleyma,تە كو سوت سولەيماان ا ڠي في.,te ku sut Suleymaan a ngi fi.,te ku sut soleymaan a ngi fi.
y,i,25,le biy judd,le bii judd,كاتتانام. موو تاخ خالە بيي جوددو ديناڽو,kàttanam. Moo tax xale biy juddu dinañu,kàttanam. Moo tax xale bii juddu dinañu
o,u,8,n niroowul ,n niruuuul ,بەنن نيروووول اك موروومام ليگگێەي.,benn niroowul ak moroomam liggéey.,benn niruuuul ak moroomam liggéey.
o,u,9, niroowul a, niruuuul a,بەنن نيروووول اك موروومام ليگگێەي.,benn niroowul ak moroomam liggéey.,benn niruuuul ak moroomam liggéey.
o,u,4,looloo ñëw,looluo ñëw,"لوولوو ڽێو, ڠير بو واختو وا اگسەە, ڠەەن گێم.","looloo ñëw, ngir bu waxtu wa agsee, ngeen gëm.","looluo ñëw, ngir bu waxtu wa agsee, ngeen gëm."
u,o,21, ay luu ak , ay loo ak ,"لاگگي, اي گومبا, اي لوو اك ڽەنەەن","làggi, ay gumba, ay luu ak ñeneen","laggi, ay gumba, ay loo ak ñeneen"
u,o,22,ay luu ak ñ,ay loo ak ñ,"لاگگي, اي گومبا, اي لوو اك ڽەنەەن","làggi, ay gumba, ay luu ak ñeneen","laggi, ay gumba, ay loo ak ñeneen"
o,u,43,gay sonal k,gay sunal k,ڽێو ناان: «سا دووم فااتو نا; ماتاتول ڠاي سونال كيليفا گي.»,ñëw naan: «Sa doom faatu na; matatul ngay sonal kilifa gi.»,ñëw naan: «Sa doom faatu na; matatul ngay sunal kilifa gi.»
o,u,21,unu xol bép,unu xul bép,دي لا گێرێم اك سونو خول بێپپ.,di la gërëm ak sunu xol bépp.,Yi la gërëm ak sunu xul bépp.
y,i,31,on jiyi. Bi,on jiii. Bi,«دافا اموون بەيكات بو دەموون جييي. بي,«Dafa amoon beykat bu demoon jiyi. Bi,«Dafa amoon beykat bu demoon jiii. Bi
u,o,1,wutsi,wotsi,ووتسي,wutsi,wotsi
o,u,2,njortu,jjurtu,نجورتو,njortu,jjurtu
o,u,29,lla woddee,lla wuddee,يێەن ڽي نێەو ڠێم! بو ياللا ووددەە,Yéen ñi néew ngëm! Bu Yàlla woddee,Yéen ñi néew ngëm! Bu Yàlla wuddee
o,u,16,saa soosa n,saa suusa n,لي دالە چي ساا سووسا ناگ يوداا,Li dale ci saa soosa nag Yudaa,li dale ci saa suusa nag yudaa
o,u,17,aa soosa na,aa suusa na,لي دالە چي ساا سووسا ناگ يوداا,Li dale ci saa soosa nag Yudaa,li dale ci saa suusa nag yudaa
o,u,8,saa soosu X,saa suusu x,چا ساا سووسو خەل مو سەلل مي,Ca saa soosu Xel mu Sell mi,ca saa suusu xel mu Sell mi
o,u,9,aa soosu Xe,aa suusu xe,چا ساا سووسو خەل مو سەلل مي,Ca saa soosu Xel mu Sell mi,ca saa suusu xel mu Sell mi
o,u,4,noonoo,Noonuo,نوونوو,noonoo,Noonuo
o,u,23, ci ron, ci run,واللا مو دي كو دەف چي رون,walla mu di ko def ci ron,walla mu di ko def ci run
u,o,29, li nuy sox, li noy sox,"تە بي نوي دەم, ڽو جوخ نو لي نوي سوخلا لێپپ.","te bi nuy dem, ñu jox nu li nuy soxla lépp.","Ye bi nuy dem, ñu jox nu li noy soxla lépp."
o,u,22,ññeewoo jam,ññeewuw jam,"چي ياو, نداختە راڽڽەەووو جامونو جي ياللا ڽێوە, واللوسي لا.»","ci yaw, ndaxte ràññeewoo jamono ji Yàlla ñëwe, wallusi la.»","yi yaw, ndaxte raññeewuw jamono ji Yàlla ñëwe, wallusi la.»"
o,u,4,Looloo tax,Yooluo tax,لوولوو تاخ وااجور يا نە: «لااجلەەن كو; ماگوم جێمم لا.»,Looloo tax waajur ya ne: «Laajleen ko; magum jëmm la.»,Yooluo tax waajur ya ne: «Laajleen ko; magum jëmm la.»
o,u,9,bay wottu s,bay wuttu s,"چا, باي ووتتو ساخ يێرەي ڽي كو دوون رەي.”","ca, bay wottu sax yérey ñi ko doon rey.”","ca, bay wuttu sax yërey ñi ko doon rey.”"
o,u,2,njombe,jjumbe,نجومبە,njombe,jjumbe
u,o,38,talikuwulee,talikooule,نداخ خاماگولەەن با تەي? خاناا فاتتاليكووولەەن جورۆومي,Ndax xamaguleen ba tey? Xanaa fàttalikuwuleen juróomi,Ndax xamaguleen ba tey? Xanaa fattalikooule
o,u,1,xottiko,xuttiku,خوتتيكوو,xottikoo,xuttikuu
o,u,6,ottikoo,uttikuu,خوتتيكوو,xottikoo,xuttikuu
o,u,7,ttikoo,ttikuu,خوتتيكوو,xottikoo,xuttikuu
i,y,20,"tu wii, maa","tu wiy, maa","بيير كێر چي واختو ويي, مااناام تيسباار.","biir kër ci waxtu wii, maanaam tisbaar.","biir kër ci waxtu wiy, maanaam tisbaar."
o,u,14, lu doy waa, lu duy waa,ڠەەن دەف لو دوي واار? خاناا ڽي,ngeen def lu doy waar? Xanaa ñi,ngeen def lu duy waar? Xanaa ñi
o,u,1,joyoo,juyoo,جويوو,joyoo,juyoo
u,o,15,oxo jumtuka,oxo jomtuka,"اك سەەني لوخو جومتوكااي, يي ڽو يەبوون ڠير فاگگو.","ak seeni loxo jumtukaay, yi ñu yeboon ngir fàggu.","ak seeni loxo jomtukaay, yi ñu yeboon ngir fàggu."
o,u,1,bon lu ,bun lu ,"بون لو جار دەە, كون دوما تينو","bon lu jar dee, kon duma tinu","bun lu jar dee, kon duma tinu"
y,i,26,.» Piyeer t,k.» Piyeer ,يتام چي ڽووم ڠا بوكك.» پييەەر تونتو,itam ci ñoom nga bokk.» Piyeer tontu,Yitam ci ñoom nga bokk.» Piyeer tontu
u,o,19, ko ku tëdd, ko ko tëdd,فووفا ڽو ينديل كو كو تێدد چي,Foofa ñu indil ko ku tëdd ci,Foofa ñu indil ko ko tëdd ci
o,u,20, ca joor ga, ca juur ga,"يا, دالدي تاخاو چا جوور گا, فا","ya, daldi taxaw ca joor ga, fa","ya, daldi taxaw ca juur ga, fa"
o,u,21,"ca joor ga,","ca juur ga,","يا, دالدي تاخاو چا جوور گا, فا","ya, daldi taxaw ca joor ga, fa","ya, daldi taxaw ca juur ga, fa"
o,u,14,a xewoon ca,a xewuon ca,نەتتالي لا خەووون چا يوون وا اك,nettali la xewoon ca yoon wa ak,nettali la xewuon ca yoon wa ak
u,o,2,«Wutuma ,«Wootuma,«ووتوما تاگگ يو جۆگە چي نيت.,«Wutuma tagg yu jóge ci nit.,«Wootuma tagg yu jóge ci nit.
o,u,3,melokan,melukan,مەلوكان,melokan,melukan
o,u,46, faatoo., faatuw.,چي باات يوويو لا دوون ميساالە ني مو وار ا فااتوو.,Ci baat yooyu la doon misaale ni mu war a faatoo.,ci baat yooyu la doon misaale ni mu war a faatuw.
i,y,5,ñooñii,ñooñiy,ڽووڽيي,ñooñii,ñooñiy
o,u,21,ñ sago.»,ñ sagu.»,رێي مي دا لاا خاڽ ساگو.»,réy mi da laa xañ sago.»,réy mi da laa xañ sagu.»
o,u,16, ko moy ñoo, ko muy ñoo,ام الال. لو كو موي ڽووڽو يتام,am alal. Lu ko moy ñooñu itam,am alal. Lu ko muy ñooñu itam
o,u,26,"Babilon, Ye","bàbilun, ye","با ڽو لەەن يۆببوو چا بابيلون, يەكوڽاس جور سالاچەل; سالاچەل سوروبابەل,","Ba ñu leen yóbboo ca Babilon, Yekoñas jur Salacel; Salacel Sorobabel,","ba ñu leen yóbboo ca bàbilun, yekuñas jur salacel; salacel; salacellusulubabell surubabell surubabel"
o,u,33,", Yekoñas j",", yekuñas j","با ڽو لەەن يۆببوو چا بابيلون, يەكوڽاس جور سالاچەل; سالاچەل سوروبابەل,","Ba ñu leen yóbboo ca Babilon, Yekoñas jur Salacel; Salacel Sorobabel,","ba ñu leen yóbboo ca bàbilun, yekuñas jur salacel; salacel; salacellusulubabell surubabell surubabel"
i,y,2,kii moo ,kiy moo ,"كيي موو داان تووگ, دي يەلواان?»","kii moo daan toog, di yelwaan?»","kiy moo daan toog, di yelwaan?»"
y,i,2,biy,bii,بيي,biy,bii
o,u,28,ëgg ko,ëgg ku,"نوونو ڽو فور اي خەەر, بێگگ كو","Noonu ñu for ay xeer, bëgg ko","Noonu ñu for ay xeer, bëgg ku"
o,u,1,koy yër,kuy yér,كوي يێرێم نە كو: «بول جووياتي.»,koy yërëm ne ko: «Bul jooyati.»,kuy yérëm ne ko: «Bul jooyati.»
o,u,9,xaritoo ak ,xarituw ak ,تەي خاريتوو اك اي جووتيكات اك اي بورووم باككاار.”,tey xaritoo ak ay juutikat ak ay boroom bàkkaar.”,tey xarituw ak ay juutikat ak ay boroom bàkkaar.”
o,u,38,; Naxor;,; naxur;,يانقۆوبا; يسااخا; يبراايما; تەراا; ناخور;,Yanqóoba; Isaaxa; Ibraayma; Teraa; Naxor;,yanqóoba; Isaaxa; Ibraayma; teraa; naxur;
o,u,16,ox. Wottu n,ox. Wuttu n,"وي ڠا ما جوخ. ووتتو ناا لەەن,","wi nga ma jox. Wottu naa leen,","wi nga ma jox. Wuttu naa leen,"
y,i,61,Tiberyàdd.,tiberi.,"گاننااو لوولو يەەسو دافا جالل دەخو گاليلە, مااناام دەخو تيبەريادد.","Gannaaw loolu Yeesu dafa jàll dexu Galile, maanaam dexu Tiberyàdd.","Gannaaw loolu Yeesu dafa jall dexu Galile, maanaam dexu tiberi."
i,y,5,te ñii xam ,te ñiy xam ,"تە ڽيي خام ناڽو نە, ياا ما يۆنني.","te ñii xam nañu ne, yaa ma yónni.","te ñiy xam nañu ne, yaa ma yónni."
o,u,1,doylu,duylu,دويلو,doylu,duylu
o,u,1,wormaal,wurmaal,وورماال,wormaal,wurmaal
u,o,33,: «“Suul-le,: «Sool-lee,چي سونو كاو!’تە ناان جانج يي: «“سوول-لەەن نو!»“ “,ci sunu kaw!’te naan jànj yi: «“Suul-leen nu!»“ “,ci sunu kaw! Te naan janj yi: «Sool-leen nu!» “
o,u,4,dénkoon,dénkuon,دێنكوون,dénkoon,dénkuon
o,u,4,ak Gomor ñ,ak gumur ñ,اك گومور ڽووي تانە دێكك بووبو.,ak Gomor ñooy tane dëkk boobu.,ak gumur ñooy tane dëkk boobu.
o,u,6,k Gomor ñoo,k gumur ñoo,اك گومور ڽووي تانە دێكك بووبو.,ak Gomor ñooy tane dëkk boobu.,ak gumur ñooy tane dëkk boobu.
u,o,1,wu réy ,wo réy ,"وو رێي چي بااتام, سانني كو چا","wu réy ci baatam, sànni ko ca","wo réy ci baatam, sànni ko ca"
u,o,1,buumi d,boomi d,"بوومي دەە, نداختە دەە مێنو كوو تێيە.","buumi dee, ndaxte dee mënu koo téye.","boomi dee, ndaxte dee mënu koo tëye."
u,o,2,buumi de,boomi de,"بوومي دەە, نداختە دەە مێنو كوو تێيە.","buumi dee, ndaxte dee mënu koo téye.","boomi dee, ndaxte dee mënu koo tëye."
u,o,1,xuru,xoro,خورو,xuru,xoro
u,o,3,xuru,xoro,خورو,xuru,xoro
o,u,14, ak dogali , ak dugali ,نديگال يي اك دوگالي بورووم بي يێپپ.,ndigal yi ak dogali Boroom bi yépp.,ndigal yi ak dugali boroom bi yépp.
o,u,1,Xol bi ,xul bi ,خول بي دال نا.,Xol bi dal na.,xul bi dal na.
o,u,10,"ax isob, te","ax Isub, te","ڽوي واخ يسوب, تەگ كو چي گێمميڽو يەەسو.","ñuy wax isob, teg ko ci gémmiñu Yeesu.","Ñuy wax Isub, teg ku ci gémmiñu Yeesu."
o,u,19,teg ko ci g,teg ku ci g,"ڽوي واخ يسوب, تەگ كو چي گێمميڽو يەەسو.","ñuy wax isob, teg ko ci gémmiñu Yeesu.","Ñuy wax Isub, teg ku ci gémmiñu Yeesu."
o,u,1,Xol yi ,xul yi ,خول يي فەەس نا.,Xol yi fees na.,xul yi fees na.
o,u,4,ñi joggi c,Ñi juggi c,"ڽي جوگگي چي, پيچچي اساماان لەكك كو لێپپ.","ñi joggi ci, picci asamaan lekk ko lépp.","Ñi juggi ci, picci asamaan lekk ku lépp."
o,u,33,ekk ko lépp,ekk ku lépp,"ڽي جوگگي چي, پيچچي اساماان لەكك كو لێپپ.","ñi joggi ci, picci asamaan lekk ko lépp.","Ñi juggi ci, picci asamaan lekk ku lépp."
o,u,32, ay wottuka, ay wuttuka,"پيلاات تونتو لەەن: «املەەن, اي ووتتوكات ا","Pilaat tontu leen: «Amleen, ay wottukat a","Pilaat tontu leen: «Amleen, ay wuttukat a"
y,i,24, Lisiyas ma, lisiias ma,رێەو مي; مان كێلۆدد ليسيياس ماا ڠي لاي نويو.,réew mi; man Këlódd Lisiyas maa ngi lay nuyu.,réew mi; man këlódd lisiias maa ngi lay nuyu.
i,y,8,ur yii ak s,ur yiy ak s,ڠوور ييي اك سەەن ندام نداختە جێببال,nguur yii ak seen ndam ndaxte jébbal,nguur yiy ak seen ndax ndaxte jébbal
y,i,5,it Piyeer; ,tit Piyeer;,يت پييەەر; فەكك لوولو داجە اك بێسي,it Piyeer; fekk loolu daje ak bési,tit Piyeer; fekk loolu daje ak bési
o,u,1,nose,Nuse,نوسە,nose,Nuse
o,u,18, te soobul , te suubul ,داانو چي سووف تە سووبول سەەن بااي.,daanu ci suuf te soobul seen Baay.,daanu ci suuf te suubul seen baay.
o,u,19,te soobul s,te suubul s,داانو چي سووف تە سووبول سەەن بااي.,daanu ci suuf te soobul seen Baay.,daanu ci suuf te suubul seen baay.
y,i,16,Tiberyàdd. ,tiberiadd. ,گو ڽوي واخ تيبەريادد. نيي لا دەمە ووون:,gu ñuy wax Tiberyàdd. Nii la deme woon:,yu ñuy wax tiberiadd. Nii la deme woon:
o,u,1,ko ko. ,ku ko. ,كو كو. تە ڠەەن رووف اب جاارو,ko ko. Te ngeen roof ab jaaro,ku ko. Te ngeen rouf ab jaaru
o,u,18,en roof ab ,en rouf ab ,كو كو. تە ڠەەن رووف اب جاارو,ko ko. Te ngeen roof ab jaaro,ku ko. Te ngeen rouf ab jaaru
o,u,28, jaaro, jaaru,كو كو. تە ڠەەن رووف اب جاارو,ko ko. Te ngeen roof ab jaaro,ku ko. Te ngeen rouf ab jaaru
o,u,17,ina torox. ,ina turox. ,كي كوي وور دينا توروخ. باڽوون ا,ki koy wor dina torox. Bañoon a,ki koy wor dina turox. Bañoon a
o,u,20,ñoo sonn ba,ñoo sunn ba,"لەەن, نداختە داڽوو سونن با نە يوگگ,","leen, ndaxte dañoo sonn ba ne yogg,","leen, ndaxte dañoo sunn ba ne yugg,"
o,u,31," ne yogg,"," ne yugg,","لەەن, نداختە داڽوو سونن با نە يوگگ,","leen, ndaxte dañoo sonn ba ne yogg,","leen, ndaxte dañoo sunn ba ne yugg,"
o,u,5,njabbotam,jjabbutam,نجاببوتام,njabbotam,jjabbutam
i,y,2,wii? Nu ,wiy? Nu ,ويي? نو ڠەەن خامە ناگ لێەب يي چي دەس?,wii? Nu ngeen xame nag léeb yi ci des?,wiy? Nu ngeen xame nag léeb yi ci des?
o,u,43,"am, yor ko.","am, yur ko.","نيي.» بووبا لا كو تااليبە با يۆببو كێرام, يور كو.","nii.» Booba la ko taalibe ba yóbbu këram, yor ko.","nii.» Booba la ko taalibe ba yóbbu këram, yur ko."
u,o,28,it ajuwul c,it ajooul c,"بێگگە, نداختە باككانو نيت اجووول چي الالام, اك لو مو بارەە-بارە.»","bëgge, ndaxte bakkanu nit ajuwul ci alalam, ak lu mu baree-bare.»","yégge, ndaxte bàkkanu nit ajooul ci alalam, ak lu mu baree-bare.»"
i,y,35,oo mii lu ñ,oo miy lu ñ,خاناا نداخ نو دەم جێندال مبوولوو ميي لو ڽو لەكك?»,Xanaa ndax nu dem jëndal mbooloo mii lu ñu lekk?»,xanaa ndax nu dem jëndal mbooloo miy lu ñu luklukalu?»
i,y,32,ir yii?,ir yiy?,بانني يسراييل تە خامولوو مبير ييي?,bànni Israyil te xamuloo mbir yii?,banni Israyil te xamuloo mbir yiy?
o,u,20,een bon? Nd,een bun? Nd,"بااخ, فەكك داڠەەن بون? نداختە گێمميڽ, لا فەەس خول لاي واخ.","baax, fekk dangeen bon? Ndaxte gémmiñ, la fees xol lay wax.","baax, fekk dangeen bun? Ndaxte gëmmiñ, la fees xol lay wax."
o,u,47, ak Yowaana, ak yuwaana,"چا دەس دێگگ ناڽو لوولو, ڽو دالدي مەرە سااگ اك يوواانا.","ca des dégg nañu loolu, ñu daldi mere Saag ak Yowaana.","ca des dégg nañu loolu, ñu daldi mere saag ak yuwaana."
o,u,14,"olu Sool, m","olu suul, m","چي كاو لوولو سوول, مي تودد يت","Ci kaw loolu Sool, mi tudd it","ci kaw loolu suul, mi tudd it"
o,u,15,"lu Sool, mi","lu suul, mi","چي كاو لوولو سوول, مي تودد يت","Ci kaw loolu Sool, mi tudd it","ci kaw loolu suul, mi tudd it"
u,o,26,o doxub,o doxob,"كو لا گا, ڠا يەنول كو دوخوب","Ku la ga, nga yenul ko doxub","ku la ga, nga yenul ko doxob"
i,y,7,ng lii ci M,ng liy ci m,جاڠ ليي چي مبيند يي?“دوج وي تاباخكات,jàng lii ci Mbind yi?“Doj wi tabaxkat,jàng liy ci mbind yi?“Doj wi tabaxkat
i,y,2,"yii, ñaa","yiy, ñaa","ييي, ڽاان چي ياللا رەكك ا لەەن دي داق.»","yii, ñaan ci Yàlla rekk a leen di dàq.»","yiy, ñaan ci Yàlla rekk a leen di dàq.»"
i,y,14,di Iliyas?»,i Iliyas?» ,نداخ ياا دي يليياس?» مو نە لەەن:,Ndax yaa di Iliyas?» Mu ne leen:,Yàx yaa di Iliyas?» Mu ne leen:
y,i,3,jéyya,jéyia,جێييا,jéyya,jéyia
o,u,37,ooy jooy yu,ooy juuy yu,ما وەددي ڽەتتي يوون.» مو دالدي جووي جووي يو مەتتي.,ma weddi ñetti yoon.» Mu daldi jooy jooy yu metti.,ya weddi ñetti yoon.» Mu daldi jooy juuy yu metti.
o,u,38,oy jooy yu ,oy juuy yu ,ما وەددي ڽەتتي يوون.» مو دالدي جووي جووي يو مەتتي.,ma weddi ñetti yoon.» Mu daldi jooy jooy yu metti.,ya weddi ñetti yoon.» Mu daldi jooy juuy yu metti.
o,u,28,aru lool ne,aru luul ne,"ناڽو لوولو, ڽو دالدي واارو لوول نە","nañu loolu, ñu daldi waaru lool ne","Aañu loolu, ñu daldi waaru luul ne"
o,u,29,ru lool ne,ru luul ne,"ناڽو لوولو, ڽو دالدي واارو لوول نە","nañu loolu, ñu daldi waaru lool ne","Aañu loolu, ñu daldi waaru luul ne"
o,u,6,"k Segond, ñ","k segund, ñ","اك سەگوند, ڽي دێكك تەسالونيگ; گايوس, مي","ak Segond, ñi dëkk Tesalonig; Gayus, mi","ak segund, ñi dëkk tesalunig; gayus, mi"
o,u,24,Tesalonig; ,tesalunig; ,"اك سەگوند, ڽي دێكك تەسالونيگ; گايوس, مي","ak Segond, ñi dëkk Tesalonig; Gayus, mi","ak segund, ñi dëkk tesalunig; gayus, mi"
o,u,36,noo soflu.,noo suflu.,"ڠەلاو لي, نداختە ڠەلاو لي دا نوو سوفلو.","ngelaw li, ndaxte ngelaw li da noo soflu.","ngelaw li, ndaxte ngelaw li da noo suflu."
o,u,20,"nuy woor, n","nuy wuur, n","نە كو: «لو تاخ نوي ووور, نون","ne ko: «Lu tax nuy woor, nun","ne ko: «Lu tax nuy wuur, nun"
o,u,21,"uy woor, nu","uy wuur, nu","نە كو: «لو تاخ نوي ووور, نون","ne ko: «Lu tax nuy woor, nun","ne ko: «Lu tax nuy wuur, nun"
u,o,1,ku xamu,ko xamu,"كو خامول نە, دێككو ەفەس موو دي","ku xamul ne, dëkku Efes moo di","ko xamul ne, dëkku Efes moo di"
o,u,32,k geñog der,k geñug der,"ڽو راببە كاوارو گيلێەم, تاكك گەڽوگ دەر","ñu ràbbe kawaru giléem, takk geñog der","Ñu rabbe kawaru Gilëem, takk geñug der"
o,u,24, Areyopas. , areyupas. ,"چا گێەو, با ڽوي واخ ارەيوپاس. ڽو","ca géew, ba ñuy wax Areyopas. Ñu","ca géew, ba ñuy wax areyupas. Ñu"
o,u,25,k Mesopotam,k Mesuputam,"واا ەلام, نون ڽي دێكك مەسوپوتامي, رێەوو","waa Elam, nun ñi dëkk Mesopotami, réewu","Waa elam, nun ñi dëkk Mesuputami, réewu"
o,u,27,"Mesopotami,","Mesuputami,","واا ەلام, نون ڽي دێكك مەسوپوتامي, رێەوو","waa Elam, nun ñi dëkk Mesopotami, réewu","Waa elam, nun ñi dëkk Mesuputami, réewu"
i,y,2,Nii la d,niy la d,"نيي لا دوون واارەە: «تووبلەەن سەەني باككاار,","Nii la doon waaree: «Tuubleen seeni bàkkaar,","niy la doon waaree: «Tuubleen seeni bàkkaar,"
