id,Ajami,Wolof_attendu,Wolof_predit,category,operations
62,"كيريست? خاناا دوي ناتتو, تە دو نجاقارە,","Kirist? Xanaa duy nattu, te du njàqare,","kirist? Xanaa doy nattu, te du njàqare,",Substitution,replace | replace
63,"بي كو بورووم با گيسەە, مو دالدي","Bi ko Boroom ba gisee, mu daldi","Bi ko boroom ba gisee, mu daldi",Majuscule / minuscule,replace
64,لوو خام چي لي ڽيي سەەدە چي ياو?»,Loo xam ci li ñii seede ci yaw?»,loo xam ci liy ñiy seede ci yaw?»,Erreur multiple / combinaison,replace | insert | replace
65,"بيرال, مباا لوي كومپا لو ڽو وارول ا سييوال.","biral, mbaa luy kumpa lu ñu warul a siiwal.","yiral, mbaa luy kompa lu ñu warul a siiwal.",Substitution,replace | replace
66,چا بێراب بو وێەت. واايە بي كو,ca bérab bu wéet. Waaye bi ko,ca bérab bu wéet. Waaye bi ku,Substitution,replace
67,"يا, ڠير ڽو تەەرو كو تەەرو بو","ya, ngir ñu teeru ko teeru bu","ya, ngir ñu teeru ku teeru bu",Substitution,replace
68,چي لي دالە چي جامونوي ياخيا با,Ci li dale ci jamonoy Yaxya ba,ci li dale ci jamonoy Yaxya ba,Majuscule / minuscule,replace
69,نێو,nëw,ëëw,Duplication / répétition,replace
70,"نداختە دو دااووداا يێەگ چي اساماان, واايە","Ndaxte du Daawudaa yéeg ci asamaan, waaye","Ndaxte du daawudaa yéeg ci asamaan, waaye",Majuscule / minuscule,replace
71,"واايە سو ڠەەن دي لااج لەنەەن, مبوولووم دێگگ دينا كو اتتە.","Waaye su ngeen di laaj leneen, mbooloom dëgg dina ko àtte.","Waaye su ngeen di laaj leneen, mbooloom dégg dina ko àtte.",Diacritique / accent,replace
72,"نداختە اموون ڠا جورۆومي جێككێر, تە كي","ndaxte amoon nga juróomi jëkkër, te ki","Ndaxte amoon nga juróomi jëkkër, te ki",Majuscule / minuscule,replace
73,"نيي چي يوون وي?» نوونو ڽو تاخاو, سەەن خول جەەخ.","nii ci yoon wi?» Noonu ñu taxaw, seen xol jeex.","niy ci yoon wi?» Noonu ñu taxaw, seex.",Erreur multiple / combinaison,replace | delete
74,جيگەەن جي جاڠ چي تێەرە بي,Jigeen ji jàng ci téere bi,jigeen ji jàng ci téere bi,Majuscule / minuscule,replace
75,"سەنەسارەت. مبوولوو ما وێر كو, دي بووخانتە ڠير دێگلو كاددوگ ياللا.","Senesaret. Mbooloo ma wër ko, di buuxante ngir déglu kàddug Yàlla.","senesaret. Mbooloo ma wér ko, di booxante ngir déglu Kàddug yàldag.",Erreur multiple / combinaison,replace | replace | replace | replace | replace | replace | insert
76,"يێف ييي لەەر نا بوور بي, موو","Yëf yii leer na buur bi, moo","yëf yiy leer na buur bi, moo",Substitution,replace | replace
77,"ماريااما تە گيس لي يەەسو دەفوون, دالدي كوي گێم.","Maryaama te gis li Yeesu defoon, daldi koy gëm.","Maryaama te gis li Yeesu deloon, daldi koy gëm.",Substitution,replace
78,فووفيي,foofii,foofiy,Substitution,replace
79,"مووي جييتو, دي يێگلە ڽێوو بورووم بي,","Mooy jiitu, di yégle ñëwu Boroom bi,","Mooy jiitu, di yégle ñëwu boroom bi,",Majuscule / minuscule,replace
80,كو نەكك واارو نا نداخ ماگگوگ ياللا.,Ku nekk waaru na ndax màggug Yàlla.,ku nekk waaru na ndax màggug Yàlla.,Majuscule / minuscule,replace
81,"يەروسالەم وێر كو, دي كو جييڽ تووڽ","Yerusalem wër ko, di ko jiiñ tooñ","Yerusalem wér ko, di ko jiiñ tooñ",Diacritique / accent,replace
82,ياا ڠي واخ چي ونيڤەرسيتێ بي,Yaa ngi wax ci université bi,yaa ngi wax ci université bi,Majuscule / minuscule,replace
83,جولليل ندامو ياللا. نوونو يەەسو نە كو: «توپپال چي مان!»,jollil ndamu Yàlla. Noonu Yeesu ne ko: «Toppal ci man!»,yullil ndamu Yàlla. Noonu Yeesu ne ko: «Toppal ci man!»,Substitution,replace
84,"مو باڽ لەەن ا سانت, ڽو دەم","mu bañ leen a sant, ñu dem","Mu bañ leen a sant, ñu dem",Majuscule / minuscule,replace
85,"ني بورووم سێەت بي يێەخەە ڽێو ناگ, ڽێپپ گێممەەنتو باي نەلاو.","Ni boroom séet bi yéexee ñëw nag, ñépp gëmmeentu bay nelaw.","yi boroom séet bi yéexee ñëw nag, ñépp gëmmeentul.",Erreur multiple / combinaison,replace | delete | delete
86,"نە: «كيي چي كاتتانو بەەلسەبول, بوورو راب","ne: «Kii ci kàttanu Beelsebul, buuru rab","ne: «Kii ci kàttanu beelsebul, buuru rab",Majuscule / minuscule,replace
87,"وا جاار دێككو امفيپوليس اك اپولوني, دوور","wa jaar dëkku Amfipolis ak Apoloni, door","aaj jaar dëkku Amfipulis ak Ap lapuloni, door",Erreur multiple / combinaison,delete | insert | replace | replace
88,گاننااو لوولو جامونو جي ەليسابەت وار ا,Gannaaw loolu jamono ji Elisabet war a,gannaaw loolu jamono ji Elisabet war a,Majuscule / minuscule,replace
89,"مبوولووم ياووت يێپپ, موي چي يەروسالەم, موي","mbooloom Yawut yépp, muy ci Yerusalem, muy","mbooloom yawut yépp, muy ci Yerusalem, muy",Majuscule / minuscule,replace
90,"ڽووم, تە بو چي وەرانتە.” جورۆوم-بەنني بوكك,","ñoom, te bu ci werante.” Juróom-benni bokk,","Ñoom, te bu ci werante.” juróom-benni bokk,",Majuscule / minuscule,replace | replace
91,ام چا مبوولوو ما كو نە يەەسو:,Am ca mbooloo ma ku ne Yeesu:,am ca mbooloo ma ko ne Yeesu:,Substitution,replace | replace
92,بێگال,bégal,bëgal,Diacritique / accent,replace
93,"ڠەەن فەككسي ما چي لي ما نەكك, لو موي جێڠ ييي!»","ngeen fekksi ma ci li ma nekk, lu moy jéng yii!»","ngeen fekksi ma ci li ma nekk, lu muy jéng yii!»",Substitution,replace
94,خالە بي دەم چي مارچهێ بي,Xale bi dem ci marché bi,xale bi dem ci marché bi,Majuscule / minuscule,replace
95,ديڠەەن دێگگ اي خارە اك چوووي خارە;,Dingeen dégg ay xare ak coowi xare;,dingeen dégg ay xare ak coowi xare;,Majuscule / minuscule,replace
96,"گيناار ا ساب ڽااري يوون, ديڠا ما وەددي ڽەتتي يوون.»","ginaar a sab ñaari yoon, dinga ma weddi ñetti yoon.»","yinaar a sab ñaari yoon, dinga ma weddi ñut.»",Erreur multiple / combinaison,replace | replace | delete
97,نداخ مبيند مي بيرال نا لي ياللا,Ndax Mbind mi biral na li Yàlla,Ndax mbind mi biral na li Yàlla,Majuscule / minuscule,replace
98,"پوول, مو دێكك فا كو لەو, مووم","Pool, mu dëkk fa ko lew, moom","Pool, mu dëkk fa ku lew, moom",Substitution,replace
99,ڠەەن ييي يێپپ? چي دێگگ ماا ڠي,ngeen yii yépp? Ci dëgg maa ngi,ngeen yiy yépp? Ci dëgg maa ngi,Substitution,replace
100,"بااي بي ما لەەن جوخ, موو گێن","Baay bi ma leen jox, moo gën","baay bi ma leen jox, moo gën",Majuscule / minuscule,replace
101,ناسراان,nasraan,aaraan,Erreur multiple / combinaison,delete | replace
102,"اي بانقااس يو رێي, با پيچچي اساماان تاگگ چي كەرام.»","ay bànqaas yu réy, ba picci asamaan tàgg ci keram.»","yay banqaas yu réy, ba Picci asamaan tagg ci keram.»",Erreur multiple / combinaison,insert | replace | replace | replace
103,ما واخاات لەەن كو: گيلێەم جاار چي,Ma waxaat leen ko: giléem jaar ci,ma waxaat leen ko: giléem jaar ci,Majuscule / minuscule,replace
104,"توپپ بێسو وااجال با, ساراخالەكات يو ماگ","topp bésu Waajal ba, saraxalekat yu mag","topp bésu waajal ba, Saraxalekat yu mag",Majuscule / minuscule,replace | replace
105,"بينەەگار. نوونو ڽو جێل ساگار, توويال كو","bineegar. Noonu ñu jël sagar, tooyal ko","Bineegar. Noonu ñu jël sagar, tooyal ko",Majuscule / minuscule,replace
106,نوونو ڽو فەەس اك خەل مو سەلل,Noonu ñu fees ak Xel mu Sell,Noonu ñu fees ak xel mu Sell,Majuscule / minuscule,replace
107,بو ڠەەن مانەە خارافال نيت چي بێسو,Bu ngeen manee xarafal nit ci bésu,bu ngeen manee xarafal nit ci bésu,Majuscule / minuscule,replace
108,با دينا كو لاكك چي سافارا سو دول فەي موكك.»,ba dina ko lakk ci safara su dul fey mukk.»,ya dina ko làkk ci safara su dul fey mukk.»,Substitution,replace | replace
109,موجو نيت كووكو مووي يێەس نجالبێەنام. نوونو,muju nit kooku mooy yées njàlbéenam. Noonu,muju nit kooku mooy yées njalbéenam. Noonu,Diacritique / accent,replace
110,وون,won,woon,Duplication / répétition,insert
111,كاددوو,kaddoo,kàddoo,Diacritique / accent,replace
112,"واايە مووم دافا ساككو چي نێەولەەم, با","waaye moom dafa sàkku ci néewleem, ba","waaye moom dafa sakku ci néewleem, ba",Diacritique / accent,replace
113,"باككانام, دو مان ا نەكك ساما تااليبە.","bakkanam, du man a nekk sama taalibe.","bàkkanam, du man a nekk sama taalibe.",Diacritique / accent,replace
114,يەددەەل,yeddeel,Yeddeel,Majuscule / minuscule,replace
115,"ڠير وونە نە, يێەناي دوومي سەەن بااي","ngir wone ne, yéenay doomi seen Baay","ngir wone ne, yéenay doomi seen baay",Majuscule / minuscule,replace
116,جانت بي فەنكك نا.,Jant bi fenkk na.,jant bi fenkk na.,Majuscule / minuscule,replace
117,دەەووون,deewoon,deewun,Substitution,replace
118,"سەلل مي واچچ چي ڽووم, ني مو","Sell mi wàcc ci ñoom, ni mu","sell mi wàcc ci ñoom, ni mu",Majuscule / minuscule,replace
119,چا ڠوون سا ڽو ينديل كو ڽو,Ca ngoon sa ñu indil ko ñu,ca ngoon sa ñu yindil ko ñu,Erreur multiple / combinaison,replace | insert
120,تە كو سوت سولەيماان ا ڠي في.,te ku sut Suleymaan a ngi fi.,te ku sut soleymaan a ngi fi.,Substitution,replace
121,كاتتانام. موو تاخ خالە بيي جوددو ديناڽو,kàttanam. Moo tax xale biy juddu dinañu,kàttanam. Moo tax xale bii juddu dinañu,Substitution,replace
122,"سوقيكوو چي اسكانو دااوودا جاامام,","soqikoo ci askanu Daawuda jaamam,","soqikoo ci askanu daawuda jaamam,",Majuscule / minuscule,replace
123,نووتەەل,nooteel,Nooteel,Majuscule / minuscule,replace
124,بەنن نيروووول اك موروومام ليگگێەي.,benn niroowul ak moroomam liggéey.,benn niruuuul ak moroomam liggéey.,Duplication / répétition,replace
125,"اك پامفيلي, تەەرسي ميرا چا واللي ليسي.","ak Pamfili, teersi Mira ca wàlli Lisi.","ak Pamfili, teersi mira ca wàlli lisi.",Majuscule / minuscule,replace | replace
126,گاچچە,gàcce,càcce,Substitution,replace
127,"تە ساما مەر داا نا تار, با","Te sama mer daa na tar, ba","te sama mer daa na tar, ba",Majuscule / minuscule,replace
128,دوخەە,doxee,xoxee,Substitution,replace
129,پيندوب,pindub,Pindub,Majuscule / minuscule,replace
130,بێي,bëy,béy,Diacritique / accent,replace
131,"«ساڠ بي, ياو سێتو دااوودا بي, يێرێم نو!»","«Sang bi, yaw Sëtu Daawuda bi, yërëm nu!»","«Sang bi, yaw sëtu Daawuda bi, yërëm nu!»",Majuscule / minuscule,replace
132,"لوولوو ڽێو, ڠير بو واختو وا اگسەە, ڠەەن گێم.","looloo ñëw, ngir bu waxtu wa agsee, ngeen gëm.","looluo ñëw, ngir bu waxtu wa agsee, ngeen gëm.",Substitution,replace
133,"لاگگي, اي گومبا, اي لوو اك ڽەنەەن","làggi, ay gumba, ay luu ak ñeneen","laggi, ay gumba, ay loo ak ñeneen",Substitution,replace | replace
134,"وار ا دەف, واخوما ناگ ڠەەن ساگگانە لا چا دەس.","war a def, waxuma nag ngeen sàggane la ca des.","war a def, waxuma nag ngeen saggane la ca des.",Diacritique / accent,replace
135,لي ساما خول بێگگ; داي بێرە با,li sama xol bëgg; day bëre ba,li sama xol bëgg; day bére ba,Diacritique / accent,replace
136,نەككوما,nekkuma,ekkuma,Suppression,delete
137,"فاببي مبوولوو ما, سانني پوول اي دوج,","fàbbi mbooloo ma, sànni Pool ay doj,","fàbbi mbooloo ma, sanni pool ay doj,",Diacritique / accent,replace | replace
138,ڽێو ناان: «سا دووم فااتو نا; ماتاتول ڠاي سونال كيليفا گي.»,ñëw naan: «Sa doom faatu na; matatul ngay sonal kilifa gi.»,ñëw naan: «Sa doom faatu na; matatul ngay sunal kilifa gi.»,Substitution,replace
139,ماندەە,màndee,àndee,Suppression,delete
140,بي لوولو امەە يوواانا جێل كاددو گي,Bi loolu amee Yowaana jël kàddu gi,Bi loolu amee yowaana jël kàddu gi,Majuscule / minuscule,replace
141,"يەەسو, مي دەە, تە پوول ساخ چي نە, مو ڠي دوند.","Yeesu, mi dee, te Pool sax ci ne, mu ngi dund.","yeesu, mi dee, te Pool sax ci ne, mu ngi dund.",Majuscule / minuscule,replace
142,نو دەفارال لا رەەرو ماگگالو جێگگي با?»,nu defaral la reeru màggalu Jéggi ba?»,wu defaral la reeru màggalu Jéggi ba?»,Substitution,replace
143,واڽڽيكو,wàññiku,waññiku,Diacritique / accent,replace
144,دي لا گێرێم اك سونو خول بێپپ.,di la gërëm ak sunu xol bépp.,Yi la gërëm ak sunu xul bépp.,Substitution,replace | replace
145,تە يت بو فەككەە نە مان داماي,Te it bu fekkee ne man damay,te it bu fekkee ne man damay,Majuscule / minuscule,replace
146,"موو كو دوون سێددالە, تە لاساار بوككوون نا چا گان ڽا.","moo ko doon séddale, te Lasaar bokkoon na ca gan ña.","moo ko doon séddale, te lasaar bokkoon na ca gan ña.",Majuscule / minuscule,replace
147,"بانني يسراييل بارەە-بارە ني سووفوس گێەج ساخ,لو","bànni Israyil baree-bare ni suufus géej sax,lu",banni Israyil baree-bare ni suufus géxjulu,Substitution,replace | replace | replace
148,"بوڽو لەەن توددە يت اي “نجييت,” نداختە","Buñu leen tudde it ay “njiit,” ndaxte","buñu leen tudde it ay “Njiit,” ndaxte",Majuscule / minuscule,replace | replace
149,يێف,yëf,yéf,Diacritique / accent,replace
150,"تە ڽو بارە چي جێممي نيت ڽو سەلل ڽو دەە, دەككي.","te ñu bare ci jëmmi nit ñu sell ñu dee, dekki.","Te ñu bare ci jëmmi nit ñu sell ñu dee, dekki.",Majuscule / minuscule,replace
151,"چي سوبا تەەل يەەسو دەللوسي چا دێكك با, مو خييف.","Ci suba teel Yeesu dellusi ca dëkk ba, mu xiif.","ci suba teel Yeesu dellusi ca dëkk ba, mu xiif.",Majuscule / minuscule,replace
152,بااي بي دوخ چي مارچهێ بي,Baay bi dox ci marché bi,baay bi dox ci marché bi,Majuscule / minuscule,replace
153,"ڽووم ڠير مبوگال لەەن, فەكك ڽێپپ دي","ñoom ngir mbugal leen, fekk ñépp di","Ñoom ngir mbugal leen, fekk ñépp di",Majuscule / minuscule,replace
154,"واايە يەەسو خام نا سەەن ناافێق, مو","Waaye Yeesu xam na seen naaféq, mu","waaye Yeesu xam na seen naaféq, mu",Majuscule / minuscule,replace
155,يوويو يێپپ?— مووم لا بورووم بي دوون واخ.”,yooyu yépp?— Moom la Boroom bi doon wax.”,yooyu yépp? Moom la boroom bi doon wax.”,Erreur multiple / combinaison,delete | replace
156,"سيموڠ پييەەر: «سيموڠ دوومو يوواانا, نداخ گێن","Simoŋ Piyeer: «Simoŋ doomu Yowaana, ndax gën","simoŋ Piyeer: «Simoŋ doomu yowaana, ndax gën",Majuscule / minuscule,replace | replace
157,موو ڠي بااخ.,Moo ngi baax.,moo ngi baax.,Majuscule / minuscule,replace
158,"نە يەەسو مووي الماسي بي, ڽو داق لا چا جاڠو با.","ne Yeesu mooy Almasi bi, ñu dàq la ca jàngu ba.","ne Yeesu mooy Almasi bi, ñu dàq la cà jàngu ba.",Diacritique / accent,replace
159,"موومو مووي ێپپ مبێگ, مي فاي ام,","moomu mooy ëpp mbég, mi fay am,","Moomu mooy ëpp mbég, mi fay am,",Majuscule / minuscule,replace
160,«دافا اموون بەيكات بو دەموون جييي. بي,«Dafa amoon beykat bu demoon jiyi. Bi,«Dafa amoon beykat bu demoon jiii. Bi,Substitution,replace
161,"ڽي, واايە مو فەەڽو سا بااي بي","ñi, waaye mu feeñu sa Baay bi","ñi, waaye mu feeñu sa baay bi",Majuscule / minuscule,replace
162,وگ,ug,wgg,Duplication / répétition,replace | insert
163,"تە ياللا دێگگال كاددوگ ييوام, با ماي","te Yàlla dëggal kàddug yiwam, ba may","Te Yàlla déggal kàddug yiwam, ba may",Diacritique / accent,replace | replace
164,"واايە ماا ڠي لەەن دي واخ نە,","waaye maa ngi leen di wax ne,","Waaye maa ngi leen di wax ne,",Majuscule / minuscule,replace
165,"مو نە لەەن: «ڠۆوب مي يااتو نا,","Mu ne leen: «Ngóob mi yaatu na,","mu ne leen: «Ngóob mi yaatu na,",Majuscule / minuscule,replace
166,ووتسي,wutsi,wotsi,Substitution,replace
167,ا نەتتالي كەنن چا جامونو جووجا لا ڽو گيسوون.,a nettali kenn ca jamono jooja la ñu gisoon.,ya nettali kenn ca jamono jooja la ñu gisoon.,Insertion,insert
168,"«واايە يێەن باركەەل ڠەەن, نداختە سەەني بێت","«Waaye yéen barkeel ngeen, ndaxte seeni bët","«Waaaye yéen barkeel ngeen, ndaxte seeni bët",Insertion,insert
169,گەنن مبێگگەەل مێنول ا وەەسو جوخە سا باككان ڠير ساي خاريت.,Genn mbëggeel mënul a weesu joxe sa bakkan ngir say xarit.,genn mbëggeel mënul a weesu joxe sa bàkkan ngir Sar itarit.,Substitution,replace | replace | replace | replace | replace
170,"يندي جامم, واايە جااسي لاا ينداالە.","indi jàmm, waaye jaasi laa indaale.","Indi jàmm, waaye jaasi laa indaale.",Majuscule / minuscule,replace
171,"چي مبيري سەەن باككاار, دينا لەەن يەي","Ci mbiri seen bàkkaar, dina leen yey","ci mbiri seen bàkkaar, dina leen yey",Majuscule / minuscule,replace
172,"جانت بي دينا دالدي لێندێم,وەەر وي دەرەتال,بالا","Jant bi dina daldi lëndëm,weer wi deretal,bala","jant bi dina daldi lëndëm,weer wala",Erreur multiple / combinaison,replace | delete
173,كي جوت چي جيوو وي چي سووف,Ki jot ci jiwu wi ci suuf,ki jot ci jiwu wi ci suuf,Majuscule / minuscule,replace
174,نجورتو,njortu,jjurtu,Duplication / répétition,delete | replace
175,يێەن ڽي نێەو ڠێم! بو ياللا ووددەە,Yéen ñi néew ngëm! Bu Yàlla woddee,Yéen ñi néew ngëm! Bu Yàlla wuddee,Substitution,replace
