confusion,attendu_caractere,predit_caractere,mot_attendu,mot_predit,position_dans_mot,position_caractere,phrase_attendue,phrase_predite,Ajami
u -> o,u,o,buuxante,booxante,Milieu du mot,1,"Senesaret. Mbooloo ma wër ko, di buuxante ngir déglu kàddug Yàlla.","senesaret. Mbooloo ma wér ko, di booxante ngir déglu Kàddug yàldag.","سەنەسارەت. مبوولوو ما وێر كو, دي بووخانتە ڠير دێگلو كاددوگ ياللا."
u -> o,u,o,buuxante,booxante,Milieu du mot,2,"Senesaret. Mbooloo ma wër ko, di buuxante ngir déglu kàddug Yàlla.","senesaret. Mbooloo ma wér ko, di booxante ngir déglu Kàddug yàldag.","سەنەسارەت. مبوولوو ما وێر كو, دي بووخانتە ڠير دێگلو كاددوگ ياللا."
i -> y,i,y,yii,yiy,Fin du mot,2,"Yëf yii leer na buur bi, moo","yëf yiy leer na buur bi, moo","يێف ييي لەەر نا بوور بي, موو"
i -> y,i,y,foofii,foofiy,Milieu du mot,5,foofii,foofiy,فووفيي
o -> u,o,u,jollil,yullil,Milieu du mot,1,jollil ndamu Yàlla. Noonu Yeesu ne ko: «Toppal ci man!»,yullil ndamu Yàlla. Noonu Yeesu ne ko: «Toppal ci man!»,جولليل ندامو ياللا. نوونو يەەسو نە كو: «توپپال چي مان!»
u -> o,u,o,ku,ko,Fin du mot,1,Am ca mbooloo ma ku ne Yeesu:,am ca mbooloo ma ko ne Yeesu:,ام چا مبوولوو ما كو نە يەەسو:
o -> u,o,u,moy,muy,Milieu du mot,1,"ngeen fekksi ma ci li ma nekk, lu moy jéng yii!»","ngeen fekksi ma ci li ma nekk, lu muy jéng yii!»","ڠەەن فەككسي ما چي لي ما نەكك, لو موي جێڠ ييي!»"
o -> u,o,u,ko,ku,Fin du mot,1,"Pool, mu dëkk fa ko lew, moom","Pool, mu dëkk fa ku lew, moom","پوول, مو دێكك فا كو لەو, مووم"
i -> y,i,y,yii,yiy,Fin du mot,2,ngeen yii yépp? Ci dëgg maa ngi,ngeen yiy yépp? Ci dëgg maa ngi,ڠەەن ييي يێپپ? چي دێگگ ماا ڠي
o -> u,o,u,deewoon,deewun,Milieu du mot,4,deewoon,deewun,دەەووون
i -> y,i,y,indil,yindil,Début du mot,0,Ca ngoon sa ñu indil ko ñu,ca ngoon sa ñu yindil ko ñu,چا ڠوون سا ڽو ينديل كو ڽو
u -> o,u,o,Suleymaan,soleymaan,Milieu du mot,1,te ku sut Suleymaan a ngi fi.,te ku sut soleymaan a ngi fi.,تە كو سوت سولەيماان ا ڠي في.
y -> i,y,i,biy,bii,Fin du mot,2,kàttanam. Moo tax xale biy juddu dinañu,kàttanam. Moo tax xale bii juddu dinañu,كاتتانام. موو تاخ خالە بيي جوددو ديناڽو
o -> u,o,u,niroowul,niruuuul,Milieu du mot,3,benn niroowul ak moroomam liggéey.,benn niruuuul ak moroomam liggéey.,بەنن نيروووول اك موروومام ليگگێەي.
o -> u,o,u,niroowul,niruuuul,Milieu du mot,4,benn niroowul ak moroomam liggéey.,benn niruuuul ak moroomam liggéey.,بەنن نيروووول اك موروومام ليگگێەي.
o -> u,o,u,looloo,looluo,Milieu du mot,4,"looloo ñëw, ngir bu waxtu wa agsee, ngeen gëm.","looluo ñëw, ngir bu waxtu wa agsee, ngeen gëm.","لوولوو ڽێو, ڠير بو واختو وا اگسەە, ڠەەن گێم."
u -> o,u,o,luu,loo,Milieu du mot,1,"làggi, ay gumba, ay luu ak ñeneen","laggi, ay gumba, ay loo ak ñeneen","لاگگي, اي گومبا, اي لوو اك ڽەنەەن"
u -> o,u,o,luu,loo,Fin du mot,2,"làggi, ay gumba, ay luu ak ñeneen","laggi, ay gumba, ay loo ak ñeneen","لاگگي, اي گومبا, اي لوو اك ڽەنەەن"
o -> u,o,u,sonal,sunal,Milieu du mot,1,ñëw naan: «Sa doom faatu na; matatul ngay sonal kilifa gi.»,ñëw naan: «Sa doom faatu na; matatul ngay sunal kilifa gi.»,ڽێو ناان: «سا دووم فااتو نا; ماتاتول ڠاي سونال كيليفا گي.»
o -> u,o,u,xol,xul,Milieu du mot,1,di la gërëm ak sunu xol bépp.,Yi la gërëm ak sunu xul bépp.,دي لا گێرێم اك سونو خول بێپپ.
y -> i,y,i,jiyi.,jiii.,Milieu du mot,2,«Dafa amoon beykat bu demoon jiyi. Bi,«Dafa amoon beykat bu demoon jiii. Bi,«دافا اموون بەيكات بو دەموون جييي. بي
u -> o,u,o,wutsi,wotsi,Milieu du mot,1,wutsi,wotsi,ووتسي
o -> u,o,u,njortu,jjurtu,Milieu du mot,2,njortu,jjurtu,نجورتو
o -> u,o,u,woddee,wuddee,Milieu du mot,1,Yéen ñi néew ngëm! Bu Yàlla woddee,Yéen ñi néew ngëm! Bu Yàlla wuddee,يێەن ڽي نێەو ڠێم! بو ياللا ووددەە
o -> u,o,u,soosa,suusa,Milieu du mot,1,Li dale ci saa soosa nag Yudaa,li dale ci saa suusa nag yudaa,لي دالە چي ساا سووسا ناگ يوداا
o -> u,o,u,soosa,suusa,Milieu du mot,2,Li dale ci saa soosa nag Yudaa,li dale ci saa suusa nag yudaa,لي دالە چي ساا سووسا ناگ يوداا
o -> u,o,u,soosu,suusu,Milieu du mot,1,Ca saa soosu Xel mu Sell mi,ca saa suusu xel mu Sell mi,چا ساا سووسو خەل مو سەلل مي
o -> u,o,u,soosu,suusu,Milieu du mot,2,Ca saa soosu Xel mu Sell mi,ca saa suusu xel mu Sell mi,چا ساا سووسو خەل مو سەلل مي
o -> u,o,u,noonoo,Noonuo,Milieu du mot,4,noonoo,Noonuo,نوونوو
o -> u,o,u,ron,run,Milieu du mot,1,walla mu di ko def ci ron,walla mu di ko def ci run,واللا مو دي كو دەف چي رون
u -> o,u,o,nuy,noy,Milieu du mot,1,"te bi nuy dem, ñu jox nu li nuy soxla lépp.","Ye bi nuy dem, ñu jox nu li noy soxla lépp.","تە بي نوي دەم, ڽو جوخ نو لي نوي سوخلا لێپپ."
o -> u,o,u,ràññeewoo,raññeewuw,Milieu du mot,7,"ci yaw, ndaxte ràññeewoo jamono ji Yàlla ñëwe, wallusi la.»","yi yaw, ndaxte raññeewuw jamono ji Yàlla ñëwe, wallusi la.»","چي ياو, نداختە راڽڽەەووو جامونو جي ياللا ڽێوە, واللوسي لا.»"
o -> u,o,u,Looloo,Yooluo,Milieu du mot,4,Looloo tax waajur ya ne: «Laajleen ko; magum jëmm la.»,Yooluo tax waajur ya ne: «Laajleen ko; magum jëmm la.»,لوولوو تاخ وااجور يا نە: «لااجلەەن كو; ماگوم جێمم لا.»
o -> u,o,u,wottu,wuttu,Milieu du mot,1,"ca, bay wottu sax yérey ñi ko doon rey.”","ca, bay wuttu sax yërey ñi ko doon rey.”","چا, باي ووتتو ساخ يێرەي ڽي كو دوون رەي.”"
o -> u,o,u,njombe,jjumbe,Milieu du mot,2,njombe,jjumbe,نجومبە
u -> o,u,o,fàttalikuwuleen,fattalikooule,Milieu du mot,8,Ndax xamaguleen ba tey? Xanaa fàttalikuwuleen juróomi,Ndax xamaguleen ba tey? Xanaa fattalikooule,نداخ خاماگولەەن با تەي? خاناا فاتتاليكووولەەن جورۆومي
o -> u,o,u,xottikoo,xuttikuu,Milieu du mot,1,xottikoo,xuttikuu,خوتتيكوو
o -> u,o,u,xottikoo,xuttikuu,Milieu du mot,6,xottikoo,xuttikuu,خوتتيكوو
o -> u,o,u,xottikoo,xuttikuu,Milieu du mot,7,xottikoo,xuttikuu,خوتتيكوو
i -> y,i,y,"wii,","wiy,",Milieu du mot,2,"biir kër ci waxtu wii, maanaam tisbaar.","biir kër ci waxtu wiy, maanaam tisbaar.","بيير كێر چي واختو ويي, مااناام تيسباار."
o -> u,o,u,doy,duy,Milieu du mot,1,ngeen def lu doy waar? Xanaa ñi,ngeen def lu duy waar? Xanaa ñi,ڠەەن دەف لو دوي واار? خاناا ڽي
o -> u,o,u,joyoo,juyoo,Milieu du mot,1,joyoo,juyoo,جويوو
u -> o,u,o,"jumtukaay,","jomtukaay,",Milieu du mot,1,"ak seeni loxo jumtukaay, yi ñu yeboon ngir fàggu.","ak seeni loxo jomtukaay, yi ñu yeboon ngir fàggu.","اك سەەني لوخو جومتوكااي, يي ڽو يەبوون ڠير فاگگو."
o -> u,o,u,bon,bun,Milieu du mot,1,"bon lu jar dee, kon duma tinu","bun lu jar dee, kon duma tinu","بون لو جار دەە, كون دوما تينو"
y -> i,y,i,Piyeer,Piyeer,Milieu du mot,2,itam ci ñoom nga bokk.» Piyeer tontu,Yitam ci ñoom nga bokk.» Piyeer tontu,يتام چي ڽووم ڠا بوكك.» پييەەر تونتو
u -> o,u,o,ku,ko,Fin du mot,1,Foofa ñu indil ko ku tëdd ci,Foofa ñu indil ko ko tëdd ci,فووفا ڽو ينديل كو كو تێدد چي
o -> u,o,u,joor,juur,Milieu du mot,1,"ya, daldi taxaw ca joor ga, fa","ya, daldi taxaw ca juur ga, fa","يا, دالدي تاخاو چا جوور گا, فا"
o -> u,o,u,joor,juur,Milieu du mot,2,"ya, daldi taxaw ca joor ga, fa","ya, daldi taxaw ca juur ga, fa","يا, دالدي تاخاو چا جوور گا, فا"
o -> u,o,u,xewoon,xewuon,Milieu du mot,3,nettali la xewoon ca yoon wa ak,nettali la xewuon ca yoon wa ak,نەتتالي لا خەووون چا يوون وا اك
u -> o,u,o,«Wutuma,«Wootuma,Milieu du mot,2,«Wutuma tagg yu jóge ci nit.,«Wootuma tagg yu jóge ci nit.,«ووتوما تاگگ يو جۆگە چي نيت.
o -> u,o,u,melokan,melukan,Milieu du mot,3,melokan,melukan,مەلوكان
o -> u,o,u,faatoo.,faatuw.,Milieu du mot,4,Ci baat yooyu la doon misaale ni mu war a faatoo.,ci baat yooyu la doon misaale ni mu war a faatuw.,چي باات يوويو لا دوون ميساالە ني مو وار ا فااتوو.
i -> y,i,y,ñooñii,ñooñiy,Milieu du mot,5,ñooñii,ñooñiy,ڽووڽيي
o -> u,o,u,sago.»,sagu.»,Milieu du mot,3,réy mi da laa xañ sago.»,réy mi da laa xañ sagu.»,رێي مي دا لاا خاڽ ساگو.»
o -> u,o,u,moy,muy,Milieu du mot,1,am alal. Lu ko moy ñooñu itam,am alal. Lu ko muy ñooñu itam,ام الال. لو كو موي ڽووڽو يتام
o -> u,o,u,"Babilon,","bàbilun,",Milieu du mot,5,"Ba ñu leen yóbboo ca Babilon, Yekoñas jur Salacel; Salacel Sorobabel,","ba ñu leen yóbboo ca bàbilun, yekuñas jur salacel; salacel; salacellusulubabell surubabell surubabel","با ڽو لەەن يۆببوو چا بابيلون, يەكوڽاس جور سالاچەل; سالاچەل سوروبابەل,"
o -> u,o,u,Yekoñas,yekuñas,Milieu du mot,3,"Ba ñu leen yóbboo ca Babilon, Yekoñas jur Salacel; Salacel Sorobabel,","ba ñu leen yóbboo ca bàbilun, yekuñas jur salacel; salacel; salacellusulubabell surubabell surubabel","با ڽو لەەن يۆببوو چا بابيلون, يەكوڽاس جور سالاچەل; سالاچەل سوروبابەل,"
i -> y,i,y,kii,kiy,Fin du mot,2,"kii moo daan toog, di yelwaan?»","kiy moo daan toog, di yelwaan?»","كيي موو داان تووگ, دي يەلواان?»"
y -> i,y,i,biy,bii,Milieu du mot,2,biy,bii,بيي
o -> u,o,u,ko,ku,Milieu du mot,1,"Noonu ñu for ay xeer, bëgg ko","Noonu ñu for ay xeer, bëgg ku","نوونو ڽو فور اي خەەر, بێگگ كو"
o -> u,o,u,koy,kuy,Milieu du mot,1,koy yërëm ne ko: «Bul jooyati.»,kuy yérëm ne ko: «Bul jooyati.»,كوي يێرێم نە كو: «بول جووياتي.»
o -> u,o,u,xaritoo,xarituw,Milieu du mot,5,tey xaritoo ak ay juutikat ak ay boroom bàkkaar.”,tey xarituw ak ay juutikat ak ay boroom bàkkaar.”,تەي خاريتوو اك اي جووتيكات اك اي بورووم باككاار.”
o -> u,o,u,Naxor;,naxur;,Milieu du mot,3,Yanqóoba; Isaaxa; Ibraayma; Teraa; Naxor;,yanqóoba; Isaaxa; Ibraayma; teraa; naxur;,يانقۆوبا; يسااخا; يبراايما; تەراا; ناخور;
o -> u,o,u,Wottu,Wuttu,Milieu du mot,1,"wi nga ma jox. Wottu naa leen,","wi nga ma jox. Wuttu naa leen,","وي ڠا ما جوخ. ووتتو ناا لەەن,"
y -> i,y,i,Tiberyàdd.,tiberi.,Milieu du mot,5,"Gannaaw loolu Yeesu dafa jàll dexu Galile, maanaam dexu Tiberyàdd.","Gannaaw loolu Yeesu dafa jall dexu Galile, maanaam dexu tiberi.","گاننااو لوولو يەەسو دافا جالل دەخو گاليلە, مااناام دەخو تيبەريادد."
i -> y,i,y,ñii,ñiy,Fin du mot,2,"te ñii xam nañu ne, yaa ma yónni.","te ñiy xam nañu ne, yaa ma yónni.","تە ڽيي خام ناڽو نە, ياا ما يۆنني."
o -> u,o,u,doylu,duylu,Milieu du mot,1,doylu,duylu,دويلو
o -> u,o,u,wormaal,wurmaal,Milieu du mot,1,wormaal,wurmaal,وورماال
u -> o,u,o,«“Suul-leen,«Sool-leen,Milieu du mot,3,ci sunu kaw!’te naan jànj yi: «“Suul-leen nu!»“ “,ci sunu kaw! Te naan janj yi: «Sool-leen nu!» “,چي سونو كاو!’تە ناان جانج يي: «“سوول-لەەن نو!»“ “
o -> u,o,u,dénkoon,dénkuon,Milieu du mot,4,dénkoon,dénkuon,دێنكوون
o -> u,o,u,Gomor,gumur,Milieu du mot,1,ak Gomor ñooy tane dëkk boobu.,ak gumur ñooy tane dëkk boobu.,اك گومور ڽووي تانە دێكك بووبو.
o -> u,o,u,Gomor,gumur,Milieu du mot,3,ak Gomor ñooy tane dëkk boobu.,ak gumur ñooy tane dëkk boobu.,اك گومور ڽووي تانە دێكك بووبو.
u -> o,u,o,wu,wo,Fin du mot,1,"wu réy ci baatam, sànni ko ca","wo réy ci baatam, sànni ko ca","وو رێي چي بااتام, سانني كو چا"
u -> o,u,o,buumi,boomi,Milieu du mot,1,"buumi dee, ndaxte dee mënu koo téye.","boomi dee, ndaxte dee mënu koo tëye.","بوومي دەە, نداختە دەە مێنو كوو تێيە."
u -> o,u,o,buumi,boomi,Milieu du mot,2,"buumi dee, ndaxte dee mënu koo téye.","boomi dee, ndaxte dee mënu koo tëye.","بوومي دەە, نداختە دەە مێنو كوو تێيە."
u -> o,u,o,xuru,xoro,Milieu du mot,1,xuru,xoro,خورو
u -> o,u,o,xuru,xoro,Milieu du mot,3,xuru,xoro,خورو
o -> u,o,u,dogali,dugali,Milieu du mot,1,ndigal yi ak dogali Boroom bi yépp.,ndigal yi ak dugali boroom bi yépp.,نديگال يي اك دوگالي بورووم بي يێپپ.
o -> u,o,u,Xol,xul,Milieu du mot,1,Xol bi dal na.,xul bi dal na.,خول بي دال نا.
o -> u,o,u,"isob,","Isub,",Milieu du mot,2,"ñuy wax isob, teg ko ci gémmiñu Yeesu.","Ñuy wax Isub, teg ku ci gémmiñu Yeesu.","ڽوي واخ يسوب, تەگ كو چي گێمميڽو يەەسو."
o -> u,o,u,ko,ku,Fin du mot,1,"ñuy wax isob, teg ko ci gémmiñu Yeesu.","Ñuy wax Isub, teg ku ci gémmiñu Yeesu.","ڽوي واخ يسوب, تەگ كو چي گێمميڽو يەەسو."
o -> u,o,u,Xol,xul,Milieu du mot,1,Xol yi fees na.,xul yi fees na.,خول يي فەەس نا.
o -> u,o,u,joggi,juggi,Milieu du mot,1,"ñi joggi ci, picci asamaan lekk ko lépp.","Ñi juggi ci, picci asamaan lekk ku lépp.","ڽي جوگگي چي, پيچچي اساماان لەكك كو لێپپ."
o -> u,o,u,ko,ku,Fin du mot,1,"ñi joggi ci, picci asamaan lekk ko lépp.","Ñi juggi ci, picci asamaan lekk ku lépp.","ڽي جوگگي چي, پيچچي اساماان لەكك كو لێپپ."
o -> u,o,u,wottukat,wuttukat,Milieu du mot,1,"Pilaat tontu leen: «Amleen, ay wottukat a","Pilaat tontu leen: «Amleen, ay wuttukat a","پيلاات تونتو لەەن: «املەەن, اي ووتتوكات ا"
y -> i,y,i,Lisiyas,lisiias,Milieu du mot,4,réew mi; man Këlódd Lisiyas maa ngi lay nuyu.,réew mi; man këlódd lisiias maa ngi lay nuyu.,رێەو مي; مان كێلۆدد ليسيياس ماا ڠي لاي نويو.
i -> y,i,y,yii,yiy,Fin du mot,2,nguur yii ak seen ndam ndaxte jébbal,nguur yiy ak seen ndax ndaxte jébbal,ڠوور ييي اك سەەن ندام نداختە جێببال
y -> i,y,i,Piyeer;,Piyeer;,Milieu du mot,2,it Piyeer; fekk loolu daje ak bési,tit Piyeer; fekk loolu daje ak bési,يت پييەەر; فەكك لوولو داجە اك بێسي
o -> u,o,u,nose,Nuse,Milieu du mot,1,nose,Nuse,نوسە
o -> u,o,u,soobul,suubul,Milieu du mot,1,daanu ci suuf te soobul seen Baay.,daanu ci suuf te suubul seen baay.,داانو چي سووف تە سووبول سەەن بااي.
o -> u,o,u,soobul,suubul,Milieu du mot,2,daanu ci suuf te soobul seen Baay.,daanu ci suuf te suubul seen baay.,داانو چي سووف تە سووبول سەەن بااي.
y -> i,y,i,Tiberyàdd.,tiberiadd.,Milieu du mot,5,gu ñuy wax Tiberyàdd. Nii la deme woon:,yu ñuy wax tiberiadd. Nii la deme woon:,گو ڽوي واخ تيبەريادد. نيي لا دەمە ووون:
o -> u,o,u,ko,ku,Fin du mot,1,ko ko. Te ngeen roof ab jaaro,ku ko. Te ngeen rouf ab jaaru,كو كو. تە ڠەەن رووف اب جاارو
o -> u,o,u,roof,rouf,Milieu du mot,2,ko ko. Te ngeen roof ab jaaro,ku ko. Te ngeen rouf ab jaaru,كو كو. تە ڠەەن رووف اب جاارو
o -> u,o,u,jaaro,jaaru,Milieu du mot,4,ko ko. Te ngeen roof ab jaaro,ku ko. Te ngeen rouf ab jaaru,كو كو. تە ڠەەن رووف اب جاارو
o -> u,o,u,torox.,turox.,Milieu du mot,1,ki koy wor dina torox. Bañoon a,ki koy wor dina turox. Bañoon a,كي كوي وور دينا توروخ. باڽوون ا
o -> u,o,u,sonn,sunn,Milieu du mot,1,"leen, ndaxte dañoo sonn ba ne yogg,","leen, ndaxte dañoo sunn ba ne yugg,","لەەن, نداختە داڽوو سونن با نە يوگگ,"
o -> u,o,u,"yogg,","yugg,",Milieu du mot,1,"leen, ndaxte dañoo sonn ba ne yogg,","leen, ndaxte dañoo sunn ba ne yugg,","لەەن, نداختە داڽوو سونن با نە يوگگ,"
o -> u,o,u,njabbotam,jjabbutam,Milieu du mot,5,njabbotam,jjabbutam,نجاببوتام
i -> y,i,y,wii?,wiy?,Milieu du mot,2,wii? Nu ngeen xame nag léeb yi ci des?,wiy? Nu ngeen xame nag léeb yi ci des?,ويي? نو ڠەەن خامە ناگ لێەب يي چي دەس?
o -> u,o,u,yor,yur,Milieu du mot,1,"nii.» Booba la ko taalibe ba yóbbu këram, yor ko.","nii.» Booba la ko taalibe ba yóbbu këram, yur ko.","نيي.» بووبا لا كو تااليبە با يۆببو كێرام, يور كو."
u -> o,u,o,ajuwul,ajooul,Milieu du mot,2,"bëgge, ndaxte bakkanu nit ajuwul ci alalam, ak lu mu baree-bare.»","yégge, ndaxte bàkkanu nit ajooul ci alalam, ak lu mu baree-bare.»","بێگگە, نداختە باككانو نيت اجووول چي الالام, اك لو مو بارەە-بارە.»"
i -> y,i,y,mii,miy,Fin du mot,2,Xanaa ndax nu dem jëndal mbooloo mii lu ñu lekk?»,xanaa ndax nu dem jëndal mbooloo miy lu ñu luklukalu?»,خاناا نداخ نو دەم جێندال مبوولوو ميي لو ڽو لەكك?»
i -> y,i,y,yii?,yiy?,Milieu du mot,2,bànni Israyil te xamuloo mbir yii?,banni Israyil te xamuloo mbir yiy?,بانني يسراييل تە خامولوو مبير ييي?
o -> u,o,u,bon?,bun?,Milieu du mot,1,"baax, fekk dangeen bon? Ndaxte gémmiñ, la fees xol lay wax.","baax, fekk dangeen bun? Ndaxte gëmmiñ, la fees xol lay wax.","بااخ, فەكك داڠەەن بون? نداختە گێمميڽ, لا فەەس خول لاي واخ."
o -> u,o,u,Yowaana.,yuwaana.,Milieu du mot,1,"ca des dégg nañu loolu, ñu daldi mere Saag ak Yowaana.","ca des dégg nañu loolu, ñu daldi mere saag ak yuwaana.","چا دەس دێگگ ناڽو لوولو, ڽو دالدي مەرە سااگ اك يوواانا."
o -> u,o,u,"Sool,","suul,",Milieu du mot,1,"Ci kaw loolu Sool, mi tudd it","ci kaw loolu suul, mi tudd it","چي كاو لوولو سوول, مي تودد يت"
o -> u,o,u,"Sool,","suul,",Milieu du mot,2,"Ci kaw loolu Sool, mi tudd it","ci kaw loolu suul, mi tudd it","چي كاو لوولو سوول, مي تودد يت"
u -> o,u,o,doxub,doxob,Milieu du mot,3,"Ku la ga, nga yenul ko doxub","ku la ga, nga yenul ko doxob","كو لا گا, ڠا يەنول كو دوخوب"
i -> y,i,y,lii,liy,Fin du mot,2,jàng lii ci Mbind yi?“Doj wi tabaxkat,jàng liy ci mbind yi?“Doj wi tabaxkat,جاڠ ليي چي مبيند يي?“دوج وي تاباخكات
i -> y,i,y,"yii,","yiy,",Milieu du mot,2,"yii, ñaan ci Yàlla rekk a leen di dàq.»","yiy, ñaan ci Yàlla rekk a leen di dàq.»","ييي, ڽاان چي ياللا رەكك ا لەەن دي داق.»"
i -> y,i,y,Iliyas?»,Iliyas?»,Milieu du mot,2,Ndax yaa di Iliyas?» Mu ne leen:,Yàx yaa di Iliyas?» Mu ne leen:,نداخ ياا دي يليياس?» مو نە لەەن:
y -> i,y,i,jéyya,jéyia,Milieu du mot,3,jéyya,jéyia,جێييا
o -> u,o,u,jooy,juuy,Milieu du mot,1,ma weddi ñetti yoon.» Mu daldi jooy jooy yu metti.,ya weddi ñetti yoon.» Mu daldi jooy juuy yu metti.,ما وەددي ڽەتتي يوون.» مو دالدي جووي جووي يو مەتتي.
o -> u,o,u,jooy,juuy,Milieu du mot,2,ma weddi ñetti yoon.» Mu daldi jooy jooy yu metti.,ya weddi ñetti yoon.» Mu daldi jooy juuy yu metti.,ما وەددي ڽەتتي يوون.» مو دالدي جووي جووي يو مەتتي.
o -> u,o,u,lool,luul,Milieu du mot,1,"nañu loolu, ñu daldi waaru lool ne","Aañu loolu, ñu daldi waaru luul ne","ناڽو لوولو, ڽو دالدي واارو لوول نە"
o -> u,o,u,lool,luul,Milieu du mot,2,"nañu loolu, ñu daldi waaru lool ne","Aañu loolu, ñu daldi waaru luul ne","ناڽو لوولو, ڽو دالدي واارو لوول نە"
