Ajami,Wolof_attendu,Wolof_predit,categorie_audit
ساا سا لو موي تەككي; واايە گاننااو,saa sa lu muy tekki; waaye gannaaw,saa sa lu muy tekki; waaye gànnaaw,Diacritique uniquement
واايە ياللا واخ كو نە:«يانقۆوبا راكك جي,Waaye Yàlla wax ko ne:«Yanqóoba rakk ji,Waaye Yàlla wax ku ne:«Yànqóoba rakk ji,Erreur linguistique / structurelle
خاججالەووڽو,xàjjalewuñu,xajjalewuñu,Diacritique uniquement
"كو با نوپپي, واايە گێمولەەن. جێف يي","ko ba noppi, waaye gëmuleen. Jëf yi","ku ba noppi, waaye gëmuleen. Jëf yi",Erreur linguistique / structurelle
"كو تونتو: “بو ما لاككال, تێج ناا","ko tontu: “Bu ma lakkal, tëj naa","ku tontu: “Bu ma lakkal, tëj naa",Erreur linguistique / structurelle
ياا ڠي دوخ چي ێچولە بي,Yaa ngi dox ci école bi,yaa ngi dox ci école bi,Casse uniquement
گێوانتاگول,géwantagul,gëwantagul,Diacritique uniquement
"مو گومبا تە لوو. يەەسو فاج كو,","mu gumba te luu. Yeesu faj ko,","mu gumba te loo. Yeesu faj ko,",Erreur linguistique / structurelle
"كو فا; فەكك مووم فاس نا يێەنەي دوخ, با اگسي فا.","ko fa; fekk moom fas na yéeney dox, ba agsi fa.","ku fa; fekk moom fas na yéeney dox, ba agsi fa.",Erreur linguistique / structurelle
"ڽو ناان: «نداخ كيي دو يەەسو, دوومو","Ñu naan: «Ndax kii du Yeesu, doomu","Ñu naan: «Ndax kiy du Yeesu, doomu",Erreur linguistique / structurelle
گەنت,gent,eent,Erreur linguistique / structurelle
كو گێرێم. فەكك نيتو ساماري لا ووون.,ko gërëm. Fekk nitu Samari la woon.,ko gërëm. Fekk nitu samari la woon.,Casse uniquement
"لا يێككاتي بو كاوە? دێەدێەت, دەەس نا","la yékkati bu kawe? Déedéet, dees na","la yékkati bu kawe? déedéet, dees na",Casse uniquement
ناساراان,nasaraan,aasaan,Erreur linguistique / structurelle
بورووم توول با نە جاوريڽ جا: “ووووال,boroom tool ba ne jawriñ ja: “Woowal,Boroom tool ba ne jawriñ ja: “Wowuwal,Erreur linguistique / structurelle
نديير,ndiir,Nddir,Erreur linguistique / structurelle
"موو تاخ ناڠوونتەلەەن, باي ماگگال ياللا, ني لەەن كيريست ناڠوو.","Moo tax nangoonteleen, bay màggal Yàlla, ni leen Kirist nangoo.","moo tax nangoonteleen, bay màggal Yàlla, ni leen kiristi Karoo.",Erreur linguistique / structurelle
ياللاا,yàllaa,Yàllaa,Casse uniquement
رێچچو,réccu,rëccu,Diacritique uniquement
فاسانتەە,fasantee,Fasantee,Casse uniquement
يااك,yaak,aak,Erreur linguistique / structurelle
تە بي مو رێچچەە چا گێەج گا,te bi mu rëccee ca géej ga,Te bi mu rëccee ca géej ga,Casse uniquement
"دينا كو دۆور اي يار يو مەتتي,","Dina ko dóor ay yar yu metti,","dina ko dóor ay yar yu metti,",Casse uniquement
"ناس, بي ياللا دوگالوون تە خام كو","nas, bi Yàlla dogaloon te xam ko","nas, bi Yàlla dugaloon te xam ku",Erreur linguistique / structurelle
"چي جامونو جووجو ماريااما جۆگ, گااوانتو دەم","Ci jamono jooju Maryaama jóg, gaawantu dem","ci jamono jooju Maryaama jóg, gaawantu dem",Casse uniquement
"چيگ رێەر, نداختە خامولەەن مبيند مي مباا كاتتانو ياللا.","cig réer, ndaxte xamuleen Mbind mi mbaa kàttanu Yàlla.","cig réer, ndaxte xamuleen mbind mi mbaa kattanu Yàlla.",Casse + diacritique
"با مەل نيي خالە, دوڠەەن دوگگ موكك","ba mel niy xale, dungeen dugg mukk","ba mel nii xale, dungeen dugg mukk",Erreur linguistique / structurelle
نەەن لا; فو نوي جێلە لو دوي ڠير دوندال لەەن?»,neen la; fu nuy jële lu doy ngir dundal leen?»,yeen la; fu nuy jële lu duy ngir dundal leen?»,Erreur linguistique / structurelle
"گاننااو لوولو يەەسو گێنناات, او بوورو دەخ","Gannaaw loolu Yeesu génnaat, aw booru dex","gannaaw loolu Yeesu génnaat, aw buuru dex",Erreur linguistique / structurelle
"فيير? ينديل-لەەن ما پوسەتو دەنارييون, ما سەەت.»","fiir? Indil-leen ma posetu denariyon, ma seet.»","yiir? Indil-leen ma posetu denariyon, ma seet.»",Erreur linguistique / structurelle
"فااتو لێەگي, واايە ڽێوال, تەگ كو ساي لوخو, تە دينا دونداات.»","faatu léegi, waaye ñëwal, teg ko say loxo, te dina dundaat.»","yaatu léegi, waaye ñëwal, teg ko say luxu, te dina dundaat.»",Erreur linguistique / structurelle
كێر گي ام نا بونتو بو ماگ.,Kër gi am na buntu bu mag.,kër gi am na buntu bu mag.,Casse uniquement
بيرالەە,biralee,Iiralee,Erreur linguistique / structurelle
"لەەن جاارالە; ييو وي اك دێگگ گي,","leen jaarale; yiw wi ak dëgg gi,","leen jaarale; yiw wi ak dégg gi,",Diacritique uniquement
"كيريست? خاناا دوي ناتتو, تە دو نجاقارە,","Kirist? Xanaa duy nattu, te du njàqare,","kirist? Xanaa doy nattu, te du njàqare,",Erreur linguistique / structurelle
"بي كو بورووم با گيسەە, مو دالدي","Bi ko Boroom ba gisee, mu daldi","Bi ko boroom ba gisee, mu daldi",Casse uniquement
لوو خام چي لي ڽيي سەەدە چي ياو?»,Loo xam ci li ñii seede ci yaw?»,loo xam ci liy ñiy seede ci yaw?»,Erreur linguistique / structurelle
"بيرال, مباا لوي كومپا لو ڽو وارول ا سييوال.","biral, mbaa luy kumpa lu ñu warul a siiwal.","yiral, mbaa luy kompa lu ñu warul a siiwal.",Erreur linguistique / structurelle
چا بێراب بو وێەت. واايە بي كو,ca bérab bu wéet. Waaye bi ko,ca bérab bu wéet. Waaye bi ku,Erreur linguistique / structurelle
"يا, ڠير ڽو تەەرو كو تەەرو بو","ya, ngir ñu teeru ko teeru bu","ya, ngir ñu teeru ku teeru bu",Erreur linguistique / structurelle
چي لي دالە چي جامونوي ياخيا با,Ci li dale ci jamonoy Yaxya ba,ci li dale ci jamonoy Yaxya ba,Casse uniquement
نێو,nëw,ëëw,Erreur linguistique / structurelle
"نداختە دو دااووداا يێەگ چي اساماان, واايە","Ndaxte du Daawudaa yéeg ci asamaan, waaye","Ndaxte du daawudaa yéeg ci asamaan, waaye",Casse uniquement
"واايە سو ڠەەن دي لااج لەنەەن, مبوولووم دێگگ دينا كو اتتە.","Waaye su ngeen di laaj leneen, mbooloom dëgg dina ko àtte.","Waaye su ngeen di laaj leneen, mbooloom dégg dina ko àtte.",Diacritique uniquement
"نداختە اموون ڠا جورۆومي جێككێر, تە كي","ndaxte amoon nga juróomi jëkkër, te ki","Ndaxte amoon nga juróomi jëkkër, te ki",Casse uniquement
"نيي چي يوون وي?» نوونو ڽو تاخاو, سەەن خول جەەخ.","nii ci yoon wi?» Noonu ñu taxaw, seen xol jeex.","niy ci yoon wi?» Noonu ñu taxaw, seex.",Erreur linguistique / structurelle
جيگەەن جي جاڠ چي تێەرە بي,Jigeen ji jàng ci téere bi,jigeen ji jàng ci téere bi,Casse uniquement
"سەنەسارەت. مبوولوو ما وێر كو, دي بووخانتە ڠير دێگلو كاددوگ ياللا.","Senesaret. Mbooloo ma wër ko, di buuxante ngir déglu kàddug Yàlla.","senesaret. Mbooloo ma wér ko, di booxante ngir déglu Kàddug yàldag.",Erreur linguistique / structurelle
"يێف ييي لەەر نا بوور بي, موو","Yëf yii leer na buur bi, moo","yëf yiy leer na buur bi, moo",Erreur linguistique / structurelle
"ماريااما تە گيس لي يەەسو دەفوون, دالدي كوي گێم.","Maryaama te gis li Yeesu defoon, daldi koy gëm.","Maryaama te gis li Yeesu deloon, daldi koy gëm.",Erreur linguistique / structurelle
فووفيي,foofii,foofiy,Erreur linguistique / structurelle
"مووي جييتو, دي يێگلە ڽێوو بورووم بي,","Mooy jiitu, di yégle ñëwu Boroom bi,","Mooy jiitu, di yégle ñëwu boroom bi,",Casse uniquement
كو نەكك واارو نا نداخ ماگگوگ ياللا.,Ku nekk waaru na ndax màggug Yàlla.,ku nekk waaru na ndax màggug Yàlla.,Casse uniquement
"يەروسالەم وێر كو, دي كو جييڽ تووڽ","Yerusalem wër ko, di ko jiiñ tooñ","Yerusalem wér ko, di ko jiiñ tooñ",Diacritique uniquement
ياا ڠي واخ چي ونيڤەرسيتێ بي,Yaa ngi wax ci université bi,yaa ngi wax ci université bi,Casse uniquement
جولليل ندامو ياللا. نوونو يەەسو نە كو: «توپپال چي مان!»,jollil ndamu Yàlla. Noonu Yeesu ne ko: «Toppal ci man!»,yullil ndamu Yàlla. Noonu Yeesu ne ko: «Toppal ci man!»,Erreur linguistique / structurelle
"مو باڽ لەەن ا سانت, ڽو دەم","mu bañ leen a sant, ñu dem","Mu bañ leen a sant, ñu dem",Casse uniquement
"ني بورووم سێەت بي يێەخەە ڽێو ناگ, ڽێپپ گێممەەنتو باي نەلاو.","Ni boroom séet bi yéexee ñëw nag, ñépp gëmmeentu bay nelaw.","yi boroom séet bi yéexee ñëw nag, ñépp gëmmeentul.",Erreur linguistique / structurelle
"نە: «كيي چي كاتتانو بەەلسەبول, بوورو راب","ne: «Kii ci kàttanu Beelsebul, buuru rab","ne: «Kii ci kàttanu beelsebul, buuru rab",Casse uniquement
"وا جاار دێككو امفيپوليس اك اپولوني, دوور","wa jaar dëkku Amfipolis ak Apoloni, door","aaj jaar dëkku Amfipulis ak Ap lapuloni, door",Erreur linguistique / structurelle
گاننااو لوولو جامونو جي ەليسابەت وار ا,Gannaaw loolu jamono ji Elisabet war a,gannaaw loolu jamono ji Elisabet war a,Casse uniquement
"مبوولووم ياووت يێپپ, موي چي يەروسالەم, موي","mbooloom Yawut yépp, muy ci Yerusalem, muy","mbooloom yawut yépp, muy ci Yerusalem, muy",Casse uniquement
"ڽووم, تە بو چي وەرانتە.” جورۆوم-بەنني بوكك,","ñoom, te bu ci werante.” Juróom-benni bokk,","Ñoom, te bu ci werante.” juróom-benni bokk,",Casse uniquement
ام چا مبوولوو ما كو نە يەەسو:,Am ca mbooloo ma ku ne Yeesu:,am ca mbooloo ma ko ne Yeesu:,Erreur linguistique / structurelle
بێگال,bégal,bëgal,Diacritique uniquement
"ڠەەن فەككسي ما چي لي ما نەكك, لو موي جێڠ ييي!»","ngeen fekksi ma ci li ma nekk, lu moy jéng yii!»","ngeen fekksi ma ci li ma nekk, lu muy jéng yii!»",Erreur linguistique / structurelle
خالە بي دەم چي مارچهێ بي,Xale bi dem ci marché bi,xale bi dem ci marché bi,Casse uniquement
ديڠەەن دێگگ اي خارە اك چوووي خارە;,Dingeen dégg ay xare ak coowi xare;,dingeen dégg ay xare ak coowi xare;,Casse uniquement
"گيناار ا ساب ڽااري يوون, ديڠا ما وەددي ڽەتتي يوون.»","ginaar a sab ñaari yoon, dinga ma weddi ñetti yoon.»","yinaar a sab ñaari yoon, dinga ma weddi ñut.»",Erreur linguistique / structurelle
نداخ مبيند مي بيرال نا لي ياللا,Ndax Mbind mi biral na li Yàlla,Ndax mbind mi biral na li Yàlla,Casse uniquement
"پوول, مو دێكك فا كو لەو, مووم","Pool, mu dëkk fa ko lew, moom","Pool, mu dëkk fa ku lew, moom",Erreur linguistique / structurelle
ڠەەن ييي يێپپ? چي دێگگ ماا ڠي,ngeen yii yépp? Ci dëgg maa ngi,ngeen yiy yépp? Ci dëgg maa ngi,Erreur linguistique / structurelle
"بااي بي ما لەەن جوخ, موو گێن","Baay bi ma leen jox, moo gën","baay bi ma leen jox, moo gën",Casse uniquement
ناسراان,nasraan,aaraan,Erreur linguistique / structurelle
"اي بانقااس يو رێي, با پيچچي اساماان تاگگ چي كەرام.»","ay bànqaas yu réy, ba picci asamaan tàgg ci keram.»","yay banqaas yu réy, ba Picci asamaan tagg ci keram.»",Erreur linguistique / structurelle
ما واخاات لەەن كو: گيلێەم جاار چي,Ma waxaat leen ko: giléem jaar ci,ma waxaat leen ko: giléem jaar ci,Casse uniquement
"توپپ بێسو وااجال با, ساراخالەكات يو ماگ","topp bésu Waajal ba, saraxalekat yu mag","topp bésu waajal ba, Saraxalekat yu mag",Casse uniquement
"بينەەگار. نوونو ڽو جێل ساگار, توويال كو","bineegar. Noonu ñu jël sagar, tooyal ko","Bineegar. Noonu ñu jël sagar, tooyal ko",Casse uniquement
نوونو ڽو فەەس اك خەل مو سەلل,Noonu ñu fees ak Xel mu Sell,Noonu ñu fees ak xel mu Sell,Casse uniquement
بو ڠەەن مانەە خارافال نيت چي بێسو,Bu ngeen manee xarafal nit ci bésu,bu ngeen manee xarafal nit ci bésu,Casse uniquement
با دينا كو لاكك چي سافارا سو دول فەي موكك.»,ba dina ko lakk ci safara su dul fey mukk.»,ya dina ko làkk ci safara su dul fey mukk.»,Erreur linguistique / structurelle
موجو نيت كووكو مووي يێەس نجالبێەنام. نوونو,muju nit kooku mooy yées njàlbéenam. Noonu,muju nit kooku mooy yées njalbéenam. Noonu,Diacritique uniquement
وون,won,woon,Erreur linguistique / structurelle
كاددوو,kaddoo,kàddoo,Diacritique uniquement
"واايە مووم دافا ساككو چي نێەولەەم, با","waaye moom dafa sàkku ci néewleem, ba","waaye moom dafa sakku ci néewleem, ba",Diacritique uniquement
"باككانام, دو مان ا نەكك ساما تااليبە.","bakkanam, du man a nekk sama taalibe.","bàkkanam, du man a nekk sama taalibe.",Diacritique uniquement
يەددەەل,yeddeel,Yeddeel,Casse uniquement
"ڠير وونە نە, يێەناي دوومي سەەن بااي","ngir wone ne, yéenay doomi seen Baay","ngir wone ne, yéenay doomi seen baay",Casse uniquement
جانت بي فەنكك نا.,Jant bi fenkk na.,jant bi fenkk na.,Casse uniquement
دەەووون,deewoon,deewun,Erreur linguistique / structurelle
"سەلل مي واچچ چي ڽووم, ني مو","Sell mi wàcc ci ñoom, ni mu","sell mi wàcc ci ñoom, ni mu",Casse uniquement
چا ڠوون سا ڽو ينديل كو ڽو,Ca ngoon sa ñu indil ko ñu,ca ngoon sa ñu yindil ko ñu,Erreur linguistique / structurelle
تە كو سوت سولەيماان ا ڠي في.,te ku sut Suleymaan a ngi fi.,te ku sut soleymaan a ngi fi.,Erreur linguistique / structurelle
كاتتانام. موو تاخ خالە بيي جوددو ديناڽو,kàttanam. Moo tax xale biy juddu dinañu,kàttanam. Moo tax xale bii juddu dinañu,Erreur linguistique / structurelle
"سوقيكوو چي اسكانو دااوودا جاامام,","soqikoo ci askanu Daawuda jaamam,","soqikoo ci askanu daawuda jaamam,",Casse uniquement
نووتەەل,nooteel,Nooteel,Casse uniquement
بەنن نيروووول اك موروومام ليگگێەي.,benn niroowul ak moroomam liggéey.,benn niruuuul ak moroomam liggéey.,Erreur linguistique / structurelle
"اك پامفيلي, تەەرسي ميرا چا واللي ليسي.","ak Pamfili, teersi Mira ca wàlli Lisi.","ak Pamfili, teersi mira ca wàlli lisi.",Casse uniquement
گاچچە,gàcce,càcce,Erreur linguistique / structurelle
"تە ساما مەر داا نا تار, با","Te sama mer daa na tar, ba","te sama mer daa na tar, ba",Casse uniquement
دوخەە,doxee,xoxee,Erreur linguistique / structurelle
پيندوب,pindub,Pindub,Casse uniquement
بێي,bëy,béy,Diacritique uniquement
"«ساڠ بي, ياو سێتو دااوودا بي, يێرێم نو!»","«Sang bi, yaw Sëtu Daawuda bi, yërëm nu!»","«Sang bi, yaw sëtu Daawuda bi, yërëm nu!»",Casse uniquement
"لوولوو ڽێو, ڠير بو واختو وا اگسەە, ڠەەن گێم.","looloo ñëw, ngir bu waxtu wa agsee, ngeen gëm.","looluo ñëw, ngir bu waxtu wa agsee, ngeen gëm.",Erreur linguistique / structurelle
"لاگگي, اي گومبا, اي لوو اك ڽەنەەن","làggi, ay gumba, ay luu ak ñeneen","laggi, ay gumba, ay loo ak ñeneen",Erreur linguistique / structurelle
"وار ا دەف, واخوما ناگ ڠەەن ساگگانە لا چا دەس.","war a def, waxuma nag ngeen sàggane la ca des.","war a def, waxuma nag ngeen saggane la ca des.",Diacritique uniquement
لي ساما خول بێگگ; داي بێرە با,li sama xol bëgg; day bëre ba,li sama xol bëgg; day bére ba,Diacritique uniquement
نەككوما,nekkuma,ekkuma,Erreur linguistique / structurelle
"فاببي مبوولوو ما, سانني پوول اي دوج,","fàbbi mbooloo ma, sànni Pool ay doj,","fàbbi mbooloo ma, sanni pool ay doj,",Casse + diacritique
ڽێو ناان: «سا دووم فااتو نا; ماتاتول ڠاي سونال كيليفا گي.»,ñëw naan: «Sa doom faatu na; matatul ngay sonal kilifa gi.»,ñëw naan: «Sa doom faatu na; matatul ngay sunal kilifa gi.»,Erreur linguistique / structurelle
ماندەە,màndee,àndee,Erreur linguistique / structurelle
بي لوولو امەە يوواانا جێل كاددو گي,Bi loolu amee Yowaana jël kàddu gi,Bi loolu amee yowaana jël kàddu gi,Casse uniquement
"يەەسو, مي دەە, تە پوول ساخ چي نە, مو ڠي دوند.","Yeesu, mi dee, te Pool sax ci ne, mu ngi dund.","yeesu, mi dee, te Pool sax ci ne, mu ngi dund.",Casse uniquement
نو دەفارال لا رەەرو ماگگالو جێگگي با?»,nu defaral la reeru màggalu Jéggi ba?»,wu defaral la reeru màggalu Jéggi ba?»,Erreur linguistique / structurelle
واڽڽيكو,wàññiku,waññiku,Diacritique uniquement
دي لا گێرێم اك سونو خول بێپپ.,di la gërëm ak sunu xol bépp.,Yi la gërëm ak sunu xul bépp.,Erreur linguistique / structurelle
تە يت بو فەككەە نە مان داماي,Te it bu fekkee ne man damay,te it bu fekkee ne man damay,Casse uniquement
"موو كو دوون سێددالە, تە لاساار بوككوون نا چا گان ڽا.","moo ko doon séddale, te Lasaar bokkoon na ca gan ña.","moo ko doon séddale, te lasaar bokkoon na ca gan ña.",Casse uniquement
"بانني يسراييل بارەە-بارە ني سووفوس گێەج ساخ,لو","bànni Israyil baree-bare ni suufus géej sax,lu",banni Israyil baree-bare ni suufus géxjulu,Erreur linguistique / structurelle
"بوڽو لەەن توددە يت اي “نجييت,” نداختە","Buñu leen tudde it ay “njiit,” ndaxte","buñu leen tudde it ay “Njiit,” ndaxte",Casse uniquement
يێف,yëf,yéf,Diacritique uniquement
"تە ڽو بارە چي جێممي نيت ڽو سەلل ڽو دەە, دەككي.","te ñu bare ci jëmmi nit ñu sell ñu dee, dekki.","Te ñu bare ci jëmmi nit ñu sell ñu dee, dekki.",Casse uniquement
"چي سوبا تەەل يەەسو دەللوسي چا دێكك با, مو خييف.","Ci suba teel Yeesu dellusi ca dëkk ba, mu xiif.","ci suba teel Yeesu dellusi ca dëkk ba, mu xiif.",Casse uniquement
بااي بي دوخ چي مارچهێ بي,Baay bi dox ci marché bi,baay bi dox ci marché bi,Casse uniquement
"ڽووم ڠير مبوگال لەەن, فەكك ڽێپپ دي","ñoom ngir mbugal leen, fekk ñépp di","Ñoom ngir mbugal leen, fekk ñépp di",Casse uniquement
"واايە يەەسو خام نا سەەن ناافێق, مو","Waaye Yeesu xam na seen naaféq, mu","waaye Yeesu xam na seen naaféq, mu",Casse uniquement
يوويو يێپپ?— مووم لا بورووم بي دوون واخ.”,yooyu yépp?— Moom la Boroom bi doon wax.”,yooyu yépp? Moom la boroom bi doon wax.”,Erreur linguistique / structurelle
"سيموڠ پييەەر: «سيموڠ دوومو يوواانا, نداخ گێن","Simoŋ Piyeer: «Simoŋ doomu Yowaana, ndax gën","simoŋ Piyeer: «Simoŋ doomu yowaana, ndax gën",Casse uniquement
موو ڠي بااخ.,Moo ngi baax.,moo ngi baax.,Casse uniquement
"نە يەەسو مووي الماسي بي, ڽو داق لا چا جاڠو با.","ne Yeesu mooy Almasi bi, ñu dàq la ca jàngu ba.","ne Yeesu mooy Almasi bi, ñu dàq la cà jàngu ba.",Diacritique uniquement
"موومو مووي ێپپ مبێگ, مي فاي ام,","moomu mooy ëpp mbég, mi fay am,","Moomu mooy ëpp mbég, mi fay am,",Casse uniquement
«دافا اموون بەيكات بو دەموون جييي. بي,«Dafa amoon beykat bu demoon jiyi. Bi,«Dafa amoon beykat bu demoon jiii. Bi,Erreur linguistique / structurelle
"ڽي, واايە مو فەەڽو سا بااي بي","ñi, waaye mu feeñu sa Baay bi","ñi, waaye mu feeñu sa baay bi",Casse uniquement
وگ,ug,wgg,Erreur linguistique / structurelle
"تە ياللا دێگگال كاددوگ ييوام, با ماي","te Yàlla dëggal kàddug yiwam, ba may","Te Yàlla déggal kàddug yiwam, ba may",Casse + diacritique
"واايە ماا ڠي لەەن دي واخ نە,","waaye maa ngi leen di wax ne,","Waaye maa ngi leen di wax ne,",Casse uniquement
"مو نە لەەن: «ڠۆوب مي يااتو نا,","Mu ne leen: «Ngóob mi yaatu na,","mu ne leen: «Ngóob mi yaatu na,",Casse uniquement
ووتسي,wutsi,wotsi,Erreur linguistique / structurelle
ا نەتتالي كەنن چا جامونو جووجا لا ڽو گيسوون.,a nettali kenn ca jamono jooja la ñu gisoon.,ya nettali kenn ca jamono jooja la ñu gisoon.,Erreur linguistique / structurelle
"«واايە يێەن باركەەل ڠەەن, نداختە سەەني بێت","«Waaye yéen barkeel ngeen, ndaxte seeni bët","«Waaaye yéen barkeel ngeen, ndaxte seeni bët",Erreur linguistique / structurelle
گەنن مبێگگەەل مێنول ا وەەسو جوخە سا باككان ڠير ساي خاريت.,Genn mbëggeel mënul a weesu joxe sa bakkan ngir say xarit.,genn mbëggeel mënul a weesu joxe sa bàkkan ngir Sar itarit.,Erreur linguistique / structurelle
"يندي جامم, واايە جااسي لاا ينداالە.","indi jàmm, waaye jaasi laa indaale.","Indi jàmm, waaye jaasi laa indaale.",Casse uniquement
"چي مبيري سەەن باككاار, دينا لەەن يەي","Ci mbiri seen bàkkaar, dina leen yey","ci mbiri seen bàkkaar, dina leen yey",Casse uniquement
"جانت بي دينا دالدي لێندێم,وەەر وي دەرەتال,بالا","Jant bi dina daldi lëndëm,weer wi deretal,bala","jant bi dina daldi lëndëm,weer wala",Erreur linguistique / structurelle
كي جوت چي جيوو وي چي سووف,Ki jot ci jiwu wi ci suuf,ki jot ci jiwu wi ci suuf,Casse uniquement
نجورتو,njortu,jjurtu,Erreur linguistique / structurelle
يێەن ڽي نێەو ڠێم! بو ياللا ووددەە,Yéen ñi néew ngëm! Bu Yàlla woddee,Yéen ñi néew ngëm! Bu Yàlla wuddee,Erreur linguistique / structurelle
"ڽو لاال چاتي مبوببام رەكك, تە كو كو لاال دالدي وێر.","ñu laal cati mbubbam rekk, te ku ko laal daldi wér.","Ñu laal cati mbubbam rekk, te ku ko laal daldi wér.",Casse uniquement
ماڠي ليگگەەي مان.,Mangi liggeey man.,màngi liggeey man.,Casse + diacritique
"دال. ڽوو دوون پييەەر اك يوواانا, سااگ","dal. Ñoo doon Piyeer ak Yowaana, Saag","dal. Ñoo doon Piyeer ak Yowaana, saag",Casse uniquement
لي دالە چي ساا سووسا ناگ يوداا,Li dale ci saa soosa nag Yudaa,li dale ci saa suusa nag yudaa,Erreur linguistique / structurelle
ندەگام,ndegam,Nddggam,Erreur linguistique / structurelle
"با تەي نيت ڽي جۆگە فو نەكك, دي كو فا فەكك.","Ba tey nit ñi jóge fu nekk, di ko fa fekk.","ba tey nit ñi jóge fu nekk, di ko fa fekk.",Casse uniquement
دي دێگگال نە لوولو وۆور نا.,di dëggal ne loolu wóor na.,di déggal ne loolu wóor na.,Diacritique uniquement
كان موو لەەن مان ا تەگ تووڽ?,Kan moo leen man a teg tooñ?,kan moo leen man a teg tooñ?,Casse uniquement
يەي نا سادوسەن يا. كون ناگ ڽو دالدي داجە.,yey na Sadusen ya. Kon nag ñu daldi daje.,yey na sadusen ya. Kon nag ñu daldi daje.,Casse uniquement
