Ajami,Wolof_attendu,Wolof_predit,categorie_detaillee,substitutions,insertions,suppressions,correspondances,confusions
گەنت,gent,eent,Substitution,1,0,0,3,g->e
ناساراان,nasaraan,aasaan,Substitution + suppression,1,0,2,5,r->s
بورووم توول با نە جاوريڽ جا: “ووووال,boroom tool ba ne jawriñ ja: “Woowal,Boroom tool ba ne jawriñ ja: “Wowuwal,Substitution + insertion,2,1,0,34,"o->u, b->B"
نديير,ndiir,Nddir,Substitution,2,0,0,3,"i->d, n->N"
"موو تاخ ناڠوونتەلەەن, باي ماگگال ياللا, ني لەەن كيريست ناڠوو.","Moo tax nangoonteleen, bay màggal Yàlla, ni leen Kirist nangoo.","moo tax nangoonteleen, bay màggal Yàlla, ni leen kiristi Karoo.",Erreur multiple,4,1,1,58,"g->r, n->K, K->k, M->m"
يااك,yaak,aak,Suppression,0,0,1,3,
"ناس, بي ياللا دوگالوون تە خام كو","nas, bi Yàlla dogaloon te xam ko","nas, bi Yàlla dugaloon te xam ku",Substitution,2,0,0,30,"o->u, o->u"
"با مەل نيي خالە, دوڠەەن دوگگ موكك","ba mel niy xale, dungeen dugg mukk","ba mel nii xale, dungeen dugg mukk",Substitution,1,0,0,33,y->i
نەەن لا; فو نوي جێلە لو دوي ڠير دوندال لەەن?»,neen la; fu nuy jële lu doy ngir dundal leen?»,yeen la; fu nuy jële lu duy ngir dundal leen?»,Substitution,2,0,0,44,"o->u, n->y"
"گاننااو لوولو يەەسو گێنناات, او بوورو دەخ","Gannaaw loolu Yeesu génnaat, aw booru dex","gannaaw loolu Yeesu génnaat, aw buuru dex",Substitution,3,0,0,38,"o->u, o->u, G->g"
"فيير? ينديل-لەەن ما پوسەتو دەنارييون, ما سەەت.»","fiir? Indil-leen ma posetu denariyon, ma seet.»","yiir? Indil-leen ma posetu denariyon, ma seet.»",Substitution,1,0,0,46,f->y
"فااتو لێەگي, واايە ڽێوال, تەگ كو ساي لوخو, تە دينا دونداات.»","faatu léegi, waaye ñëwal, teg ko say loxo, te dina dundaat.»","yaatu léegi, waaye ñëwal, teg ko say luxu, te dina dundaat.»",Substitution,3,0,0,57,"o->u, o->u, f->y"
بيرالەە,biralee,Iiralee,Substitution,1,0,0,6,b->I
"كيريست? خاناا دوي ناتتو, تە دو نجاقارە,","Kirist? Xanaa duy nattu, te du njàqare,","kirist? Xanaa doy nattu, te du njàqare,",Substitution,2,0,0,37,"u->o, K->k"
لوو خام چي لي ڽيي سەەدە چي ياو?»,Loo xam ci li ñii seede ci yaw?»,loo xam ci liy ñiy seede ci yaw?»,Substitution + insertion,2,1,0,30,"i->y, L->l"
"بيرال, مباا لوي كومپا لو ڽو وارول ا سييوال.","biral, mbaa luy kumpa lu ñu warul a siiwal.","yiral, mbaa luy kompa lu ñu warul a siiwal.",Substitution,2,0,0,41,"u->o, b->y"
چا بێراب بو وێەت. واايە بي كو,ca bérab bu wéet. Waaye bi ko,ca bérab bu wéet. Waaye bi ku,Substitution,1,0,0,28,o->u
"يا, ڠير ڽو تەەرو كو تەەرو بو","ya, ngir ñu teeru ko teeru bu","ya, ngir ñu teeru ku teeru bu",Substitution,1,0,0,28,o->u
نێو,nëw,ëëw,Substitution,1,0,0,2,n->ë
"نيي چي يوون وي?» نوونو ڽو تاخاو, سەەن خول جەەخ.","nii ci yoon wi?» Noonu ñu taxaw, seen xol jeex.","niy ci yoon wi?» Noonu ñu taxaw, seex.",Substitution + suppression,1,0,9,37,i->y
"سەنەسارەت. مبوولوو ما وێر كو, دي بووخانتە ڠير دێگلو كاددوگ ياللا.","Senesaret. Mbooloo ma wër ko, di buuxante ngir déglu kàddug Yàlla.","senesaret. Mbooloo ma wér ko, di booxante ngir déglu Kàddug yàldag.",Substitution + insertion,7,1,0,59,"l->d, Y->y, k->K, u->o, u->o, ë->é, S->s"
"يێف ييي لەەر نا بوور بي, موو","Yëf yii leer na buur bi, moo","yëf yiy leer na buur bi, moo",Substitution,2,0,0,26,"i->y, Y->y"
"ماريااما تە گيس لي يەەسو دەفوون, دالدي كوي گێم.","Maryaama te gis li Yeesu defoon, daldi koy gëm.","Maryaama te gis li Yeesu deloon, daldi koy gëm.",Substitution,1,0,0,46,f->l
فووفيي,foofii,foofiy,Substitution,1,0,0,5,i->y
جولليل ندامو ياللا. نوونو يەەسو نە كو: «توپپال چي مان!»,jollil ndamu Yàlla. Noonu Yeesu ne ko: «Toppal ci man!»,yullil ndamu Yàlla. Noonu Yeesu ne ko: «Toppal ci man!»,Substitution,2,0,0,53,"o->u, j->y"
"ني بورووم سێەت بي يێەخەە ڽێو ناگ, ڽێپپ گێممەەنتو باي نەلاو.","Ni boroom séet bi yéexee ñëw nag, ñépp gëmmeentu bay nelaw.","yi boroom séet bi yéexee ñëw nag, ñépp gëmmeentul.",Substitution + suppression,1,0,9,49,N->y
"وا جاار دێككو امفيپوليس اك اپولوني, دوور","wa jaar dëkku Amfipolis ak Apoloni, door","aaj jaar dëkku Amfipulis ak Ap lapuloni, door",Substitution + insertion,3,5,0,37,"o->u, o->u, w->a"
ام چا مبوولوو ما كو نە يەەسو:,Am ca mbooloo ma ku ne Yeesu:,am ca mbooloo ma ko ne Yeesu:,Substitution,2,0,0,27,"u->o, A->a"
"ڠەەن فەككسي ما چي لي ما نەكك, لو موي جێڠ ييي!»","ngeen fekksi ma ci li ma nekk, lu moy jéng yii!»","ngeen fekksi ma ci li ma nekk, lu muy jéng yii!»",Substitution,1,0,0,47,o->u
"گيناار ا ساب ڽااري يوون, ديڠا ما وەددي ڽەتتي يوون.»","ginaar a sab ñaari yoon, dinga ma weddi ñetti yoon.»","yinaar a sab ñaari yoon, dinga ma weddi ñut.»",Substitution + suppression,2,0,7,43,"t->u, g->y"
"پوول, مو دێكك فا كو لەو, مووم","Pool, mu dëkk fa ko lew, moom","Pool, mu dëkk fa ku lew, moom",Substitution,1,0,0,28,o->u
ڠەەن ييي يێپپ? چي دێگگ ماا ڠي,ngeen yii yépp? Ci dëgg maa ngi,ngeen yiy yépp? Ci dëgg maa ngi,Substitution,1,0,0,30,i->y
ناسراان,nasraan,aaraan,Substitution + suppression,1,0,1,5,s->a
"اي بانقااس يو رێي, با پيچچي اساماان تاگگ چي كەرام.»","ay bànqaas yu réy, ba picci asamaan tàgg ci keram.»","yay banqaas yu réy, ba Picci asamaan tagg ci keram.»",Substitution + insertion,3,1,0,48,"à->a, p->P, à->a"
با دينا كو لاكك چي سافارا سو دول فەي موكك.»,ba dina ko lakk ci safara su dul fey mukk.»,ya dina ko làkk ci safara su dul fey mukk.»,Substitution,2,0,0,41,"a->à, b->y"
وون,won,woon,Insertion,0,1,0,3,
دەەووون,deewoon,deewun,Substitution + suppression,1,0,1,5,o->u
چا ڠوون سا ڽو ينديل كو ڽو,Ca ngoon sa ñu indil ko ñu,ca ngoon sa ñu yindil ko ñu,Substitution + insertion,1,1,0,25,C->c
تە كو سوت سولەيماان ا ڠي في.,te ku sut Suleymaan a ngi fi.,te ku sut soleymaan a ngi fi.,Substitution,2,0,0,27,"u->o, S->s"
كاتتانام. موو تاخ خالە بيي جوددو ديناڽو,kàttanam. Moo tax xale biy juddu dinañu,kàttanam. Moo tax xale bii juddu dinañu,Substitution,1,0,0,38,y->i
بەنن نيروووول اك موروومام ليگگێەي.,benn niroowul ak moroomam liggéey.,benn niruuuul ak moroomam liggéey.,Substitution,3,0,0,31,"w->u, o->u, o->u"
گاچچە,gàcce,càcce,Substitution,1,0,0,4,g->c
دوخەە,doxee,xoxee,Substitution,1,0,0,4,d->x
"لوولوو ڽێو, ڠير بو واختو وا اگسەە, ڠەەن گێم.","looloo ñëw, ngir bu waxtu wa agsee, ngeen gëm.","looluo ñëw, ngir bu waxtu wa agsee, ngeen gëm.",Substitution,1,0,0,45,o->u
"لاگگي, اي گومبا, اي لوو اك ڽەنەەن","làggi, ay gumba, ay luu ak ñeneen","laggi, ay gumba, ay loo ak ñeneen",Substitution,3,0,0,30,"u->o, u->o, à->a"
نەككوما,nekkuma,ekkuma,Suppression,0,0,1,6,
ڽێو ناان: «سا دووم فااتو نا; ماتاتول ڠاي سونال كيليفا گي.»,ñëw naan: «Sa doom faatu na; matatul ngay sonal kilifa gi.»,ñëw naan: «Sa doom faatu na; matatul ngay sunal kilifa gi.»,Substitution,1,0,0,58,o->u
ماندەە,màndee,àndee,Suppression,0,0,1,5,
نو دەفارال لا رەەرو ماگگالو جێگگي با?»,nu defaral la reeru màggalu Jéggi ba?»,wu defaral la reeru màggalu Jéggi ba?»,Substitution,1,0,0,37,n->w
دي لا گێرێم اك سونو خول بێپپ.,di la gërëm ak sunu xol bépp.,Yi la gërëm ak sunu xul bépp.,Substitution,2,0,0,27,"o->u, d->Y"
"بانني يسراييل بارەە-بارە ني سووفوس گێەج ساخ,لو","bànni Israyil baree-bare ni suufus géej sax,lu",banni Israyil baree-bare ni suufus géxjulu,Substitution + suppression,3,0,4,39,",->u, e->x, à->a"
يوويو يێپپ?— مووم لا بورووم بي دوون واخ.”,yooyu yépp?— Moom la Boroom bi doon wax.”,yooyu yépp? Moom la boroom bi doon wax.”,Substitution + suppression,1,0,1,39,B->b
«دافا اموون بەيكات بو دەموون جييي. بي,«Dafa amoon beykat bu demoon jiyi. Bi,«Dafa amoon beykat bu demoon jiii. Bi,Substitution,1,0,0,36,y->i
وگ,ug,wgg,Substitution + insertion,1,1,0,1,u->g
ووتسي,wutsi,wotsi,Substitution,1,0,0,4,u->o
ا نەتتالي كەنن چا جامونو جووجا لا ڽو گيسوون.,a nettali kenn ca jamono jooja la ñu gisoon.,ya nettali kenn ca jamono jooja la ñu gisoon.,Insertion,0,1,0,44,
"«واايە يێەن باركەەل ڠەەن, نداختە سەەني بێت","«Waaye yéen barkeel ngeen, ndaxte seeni bët","«Waaaye yéen barkeel ngeen, ndaxte seeni bët",Insertion,0,1,0,43,
گەنن مبێگگەەل مێنول ا وەەسو جوخە سا باككان ڠير ساي خاريت.,Genn mbëggeel mënul a weesu joxe sa bakkan ngir say xarit.,genn mbëggeel mënul a weesu joxe sa bàkkan ngir Sar itarit.,Substitution + insertion,5,1,0,53,"x->t, y->r, s->S, a->à, G->g"
"جانت بي دينا دالدي لێندێم,وەەر وي دەرەتال,بالا","Jant bi dina daldi lëndëm,weer wi deretal,bala","jant bi dina daldi lëndëm,weer wala",Substitution + suppression,1,0,11,34,J->j
نجورتو,njortu,jjurtu,Substitution,2,0,0,4,"o->u, n->j"
يێەن ڽي نێەو ڠێم! بو ياللا ووددەە,Yéen ñi néew ngëm! Bu Yàlla woddee,Yéen ñi néew ngëm! Bu Yàlla wuddee,Substitution,1,0,0,33,o->u
لي دالە چي ساا سووسا ناگ يوداا,Li dale ci saa soosa nag Yudaa,li dale ci saa suusa nag yudaa,Substitution,4,0,0,26,"Y->y, o->u, o->u, L->l"
ندەگام,ndegam,Nddggam,Substitution + insertion,2,1,0,4,"e->g, n->d"
چا ساا سووسو خەل مو سەلل مي,Ca saa soosu Xel mu Sell mi,ca saa suusu xel mu Sell mi,Substitution,4,0,0,23,"X->x, o->u, o->u, C->c"
نوونوو,noonoo,Noonuo,Substitution,2,0,0,4,"o->u, n->N"
واللا مو دي كو دەف چي رون,walla mu di ko def ci ron,walla mu di ko def ci run,Substitution,1,0,0,24,o->u
"تە بي نوي دەم, ڽو جوخ نو لي نوي سوخلا لێپپ.","te bi nuy dem, ñu jox nu li nuy soxla lépp.","Ye bi nuy dem, ñu jox nu li noy soxla lépp.",Substitution,2,0,0,41,"u->o, t->Y"
فەكك پييەەر دي گێن ا فێگگ. نوونو,Fekk Piyeer di gën a fëgg. Noonu,fekk Piyeer di gën a fëgg..Noonu,Substitution,2,0,0,30," ->., F->f"
تيڤاووانە مووي دێكك بو جامم,Tivaouane mooy dëkk bu jàmm,tiiaawunae mooy dëkk bu jàmm,Substitution + insertion,5,1,0,22,"n->a, a->n, o->w, v->a, T->i"
ناتتوووولەەن,nattuwooleen,àttuwuleen,Substitution + suppression,2,0,2,8,"o->u, a->à"
نيرۆولە,niróole,inróole,Substitution,2,0,0,5,"i->n, n->i"
"چي ياو, نداختە راڽڽەەووو جامونو جي ياللا ڽێوە, واللوسي لا.»","ci yaw, ndaxte ràññeewoo jamono ji Yàlla ñëwe, wallusi la.»","yi yaw, ndaxte raññeewuw jamono ji Yàlla ñëwe, wallusi la.»",Substitution,4,0,0,55,"o->w, o->u, à->a, c->y"
يەەسو تونتو كو نە: « “ناڠا بێگگ,Yeesu tontu ko ne: « “Nanga bëgg,Yeesu tontu ko ne: «Nanga bëgg,Suppression,0,0,2,30,
لوولوو تاخ وااجور يا نە: «لااجلەەن كو; ماگوم جێمم لا.»,Looloo tax waajur ya ne: «Laajleen ko; magum jëmm la.»,Yooluo tax waajur ya ne: «Laajleen ko; magum jëmm la.»,Substitution,2,0,0,52,"o->u, L->Y"
"ماا چي دەس, تە ڽو ڠي ماي ووت ا رەي.»","maa ci des, te ñu ngi may wut a rey.»","yaa ci des, te ñu ngi may wut a rey.»",Substitution,1,0,0,36,m->y
"چا, باي ووتتو ساخ يێرەي ڽي كو دوون رەي.”","ca, bay wottu sax yérey ñi ko doon rey.”","ca, bay wuttu sax yërey ñi ko doon rey.”",Substitution,2,0,0,38,"é->ë, o->u"
نجومبە,njombe,jjumbe,Substitution,2,0,0,4,"o->u, n->j"
بيندلەەن,bindleen,Iindleen,Substitution,1,0,0,7,b->I
"يسراييل, دێگلول! ياللا سونو بورووم مووم رەكك مووي بوور.","Israyil, déglul! Yàlla sunu Boroom moom rekk mooy Buur.","Israyil, dëglul! Yàlla sunu boroom roku rokr.",Substitution + suppression,6,0,10,39,"u->k, o->r, k->u, e->o, B->b, é->ë"
"ما, مان, نداختە ماا واخ نە, سەەني جێف بااخول.","ma, man, ndaxte maa wax ne, seeni jëf baaxul.","ya, man, ndaxte maa wax ne, seeni jëf baaxul.",Substitution,1,0,0,44,m->y
نداخ خاماگولەەن با تەي? خاناا فاتتاليكووولەەن جورۆومي,Ndax xamaguleen ba tey? Xanaa fàttalikuwuleen juróomi,Ndax xamaguleen ba tey? Xanaa fattalikooule,Substitution + suppression,3,0,10,40,"w->o, u->o, à->a"
خوتتيكوو,xottikoo,xuttikuu,Substitution,3,0,0,5,"o->u, o->u, o->u"
دێگلو بو بااخواايە دوڠەەن خام دارا;دي خوول,déglu bu baaxwaaye dungeen xam dara;di xool,déglu bu baaxuaaye dungeen xam dara;di xool,Substitution,1,0,0,42,w->u
"بيير كێر چي واختو ويي, مااناام تيسباار.","biir kër ci waxtu wii, maanaam tisbaar.","biir kër ci waxtu wiy, maanaam tisbaar.",Substitution,1,0,0,38,i->y
"چي گارابو وليو گو الل, واايە ياللا","ci garabu oliw gu àll, waaye Yàlla","ci garabu wliw gu àll, waaye Yàlla",Substitution,1,0,0,33,o->w
ڠەەن دەف لو دوي واار? خاناا ڽي,ngeen def lu doy waar? Xanaa ñi,ngeen def lu duy waar? Xanaa ñi,Substitution,1,0,0,30,o->u
جويوو,joyoo,juyoo,Substitution,1,0,0,4,o->u
"اك سەەني لوخو جومتوكااي, يي ڽو يەبوون ڠير فاگگو.","ak seeni loxo jumtukaay, yi ñu yeboon ngir fàggu.","ak seeni loxo jomtukaay, yi ñu yeboon ngir fàggu.",Substitution,1,0,0,48,u->o
ڠێرێمو نيت ا لەەن گێنالوون ڠێرێمو ياللا.,Ngërëmu nit a leen gënaloon ngërëmu Yàlla.,ngërëmë nit a leen gënaloon ngërëmu Yàlla.,Substitution,2,0,0,40,"u->ë, N->n"
نەەخەە,neexee,eexee,Suppression,0,0,1,5,
ا مەڠالەەل ڠوورو ياللا? واللا بان لێەب,a mengaleel nguuru Yàlla? Walla ban léeb,a mengaleel nguuru Yàlla? Walla? Wal léeb,Substitution + insertion,2,1,0,38,"n->l, b->W"
"بون لو جار دەە, كون دوما تينو","bon lu jar dee, kon duma tinu","bun lu jar dee, kon duma tinu",Substitution,1,0,0,28,o->u
يتام چي ڽووم ڠا بوكك.» پييەەر تونتو,itam ci ñoom nga bokk.» Piyeer tontu,Yitam ci ñoom nga bokk.» Piyeer tontu,Insertion,0,1,0,36,
"تەندەەفال. مو نە لەەن: “لو تاخ ڠەەن يەندوو تەندەەفال, تە ليگگێەييوولەەن?”","tendeefal. Mu ne leen: “Lu tax ngeen yendoo tendeefal, te liggéeyiwuleen?”","yendeefal. Mu ne leen: “Lu tax ngeen yendeefal, te liggéeyaw, te liggéeyaw,leen?”",Substitution + insertion,10,7,0,64,"u->,, i->a, l->w, f->y, e->é, d->g, n->g, o->,, o->l, t->y"
"خەو, خاملەەن نە جەگە نا; مو ڠي چي بونت بي ساخ.","xew, xamleen ne jege na; mu ngi ci bunt bi sax.","xew, xamleen ne jege na; mu ngi ci bant bi sax.",Substitution,1,0,0,46,u->a
فووفا ڽو ينديل كو كو تێدد چي,Foofa ñu indil ko ku tëdd ci,Foofa ñu indil ko ko tëdd ci,Substitution,1,0,0,27,u->o
"بي ماريااما دێگگەە لوولو, مو دالدي جۆگ, گااوانتوو دەم چا يەەسو.","Bi Maryaama déggee loolu, mu daldi jóg, gaawantoo dem ca Yeesu.","yi maryaama déggee loolu, mu daldi jóg, gaawantoo dem ca yeesu.",Substitution,3,0,0,60,"Y->y, M->m, B->y"
"يا, دالدي تاخاو چا جوور گا, فا","ya, daldi taxaw ca joor ga, fa","ya, daldi taxaw ca juur ga, fa",Substitution,2,0,0,28,"o->u, o->u"
نەتتالي لا خەووون چا يوون وا اك,nettali la xewoon ca yoon wa ak,nettali la xewuon ca yoon wa ak,Substitution,1,0,0,30,o->u
«ووتوما تاگگ يو جۆگە چي نيت.,«Wutuma tagg yu jóge ci nit.,«Wootuma tagg yu jóge ci nit.,Substitution + insertion,1,1,0,27,u->o
مەلوكان,melokan,melukan,Substitution,1,0,0,6,o->u
"يا ناخ ناڽو كو, مو دالدي مەر","ya nax nañu ko, mu daldi mer","ay nax nañu ko, mu daldi mer",Substitution,2,0,0,26,"a->y, y->a"
چي باات يوويو لا دوون ميساالە ني مو وار ا فااتوو.,Ci baat yooyu la doon misaale ni mu war a faatoo.,ci baat yooyu la doon misaale ni mu war a faatuw.,Substitution,3,0,0,46,"o->w, o->u, C->c"
ڽووڽيي,ñooñii,ñooñiy,Substitution,1,0,0,5,i->y
رێي مي دا لاا خاڽ ساگو.»,réy mi da laa xañ sago.»,réy mi da laa xañ sagu.»,Substitution,1,0,0,23,o->u
ام الال. لو كو موي ڽووڽو يتام,am alal. Lu ko moy ñooñu itam,am alal. Lu ko muy ñooñu itam,Substitution,1,0,0,28,o->u
"با ڽو لەەن يۆببوو چا بابيلون, يەكوڽاس جور سالاچەل; سالاچەل سوروبابەل,","Ba ñu leen yóbboo ca Babilon, Yekoñas jur Salacel; Salacel Sorobabel,","ba ñu leen yóbboo ca bàbilun, yekuñas jur salacel; salacel; salacellusulubabell surubabell surubabel",Substitution + insertion,12,31,0,57,",->l, o->u, o->u, S->s, S->s, S->s, o->u, Y->y, o->u, a->à, B->b, B->b"
"كيي موو داان تووگ, دي يەلواان?»","kii moo daan toog, di yelwaan?»","kiy moo daan toog, di yelwaan?»",Substitution,1,0,0,30,i->y
بيي,biy,bii,Substitution,1,0,0,2,y->i
"نا, مو تووگاات يەنەەن ڽااري فان چا بێراب, با مو نەككوون.","na, mu toogaat yeneen ñaari fan ca bérab, ba mu nekkoon.","ya, mu toogaat yeneen ñaari fan ca bérab, ba mu nekkoon.",Substitution,1,0,0,55,n->y
"لو ێپپ لا ڽو جي ووون, موي جورۆوم-بەنن-فوكك مباا فانوەەر.»","lu ëpp la ñu ji woon, muy juróom-benn-fukk mbaa fanweer.»","lépp la ñu ji woon, muy juróom-bekn fanueer.»",Substitution + suppression,3,0,12,42,"w->u, a->n, ë->é"
"نوونو ڽو فور اي خەەر, بێگگ كو","Noonu ñu for ay xeer, bëgg ko","Noonu ñu for ay xeer, bëgg ku",Substitution,1,0,0,28,o->u
كوي يێرێم نە كو: «بول جووياتي.»,koy yërëm ne ko: «Bul jooyati.»,kuy yérëm ne ko: «Bul jooyati.»,Substitution,2,0,0,29,"ë->é, o->u"
تەي خاريتوو اك اي جووتيكات اك اي بورووم باككاار.”,tey xaritoo ak ay juutikat ak ay boroom bàkkaar.”,tey xarituw ak ay juutikat ak ay boroom bàkkaar.”,Substitution,2,0,0,47,"o->w, o->u"
ڽو تونتو نە: «نداختە بورووم بي دا كوو سوخلا.»,Ñu tontu ne: «Ndaxte Boroom bi da koo soxla.»,yu tontu ne: «Ndaxte boroom bi da koo soxla.»,Substitution,2,0,0,43,"B->b, Ñ->y"
يانقۆوبا; يسااخا; يبراايما; تەراا; ناخور;,Yanqóoba; Isaaxa; Ibraayma; Teraa; Naxor;,yanqóoba; Isaaxa; Ibraayma; teraa; naxur;,Substitution,4,0,0,37,"o->u, N->n, T->t, Y->y"
"وي ڠا ما جوخ. ووتتو ناا لەەن,","wi nga ma jox. Wottu naa leen,","wi nga ma jox. Wuttu naa leen,",Substitution,1,0,0,29,o->u
"گاننااو لوولو يەەسو دافا جالل دەخو گاليلە, مااناام دەخو تيبەريادد.","Gannaaw loolu Yeesu dafa jàll dexu Galile, maanaam dexu Tiberyàdd.","Gannaaw loolu Yeesu dafa jall dexu Galile, maanaam dexu tiberi.",Substitution + suppression,3,0,3,60,"d->i, T->t, à->a"
"تە ڽيي خام ناڽو نە, ياا ما يۆنني.","te ñii xam nañu ne, yaa ma yónni.","te ñiy xam nañu ne, yaa ma yónni.",Substitution,1,0,0,32,i->y
دويلو,doylu,duylu,Substitution,1,0,0,4,o->u
نو ڠي ليگگێەياندوو چي ليگگێەيو ياللا; يێەناي,Nu ngi liggéeyandoo ci liggéeyu Yàlla; yéenay,nu ngi liggéeyandoo ci liggéeyu Yàlla;,Substitution + suppression,1,0,7,37,N->n
وورماال,wormaal,wurmaal,Substitution,1,0,0,6,o->u
چي سونو كاو!’تە ناان جانج يي: «“سوول-لەەن نو!»“ “,ci sunu kaw!’te naan jànj yi: «“Suul-leen nu!»“ “,ci sunu kaw! Te naan janj yi: «Sool-leen nu!» “,Substitution + suppression,5,0,2,42,"u->o, u->o, à->a, t->T, ’-> "
دێنكوون,dénkoon,dénkuon,Substitution,1,0,0,6,o->u
"كو: «ياللا تەرە, بورووم بي, لوولو دو لا دال.»","ko: «Yàlla tere, Boroom bi, loolu du la dal.»","yo: «Yàlla tere, boroom bi, loolu du la dal.»",Substitution,2,0,0,43,"B->b, k->y"
اك گومور ڽووي تانە دێكك بووبو.,ak Gomor ñooy tane dëkk boobu.,ak gumur ñooy tane dëkk boobu.,Substitution,3,0,0,27,"o->u, o->u, G->g"
"ساي بوكك, تە ڽێو چي رێەو, مي ما لاي وون.”","say bokk, te ñëw ci réew, mi ma lay won.”","yay bokk, te ñëw ci réew, mi ma lay won.”",Substitution,1,0,0,40,s->y
"ااداما. ام ناا يێەنەي دەف لو بااخ, واايە اوما كاتتانو يەگگالە.","Aadama. Am naa yéeney def lu baax, waaye awma kàttanu yeggale.","aadama. Am naa yéeney def lu baax, waaye awmà kattalu.",Substitution + suppression,4,0,8,50,"e->u, à->a, a->à, A->a"
نوونو ڽو لااج كو نە: «واخ نو,Noonu ñu laaj ko ne: «Wax nu,woonu ñu laaj ko ne: «Wax nu,Substitution,1,0,0,27,N->w
دي فاج جاڠورو يێپپ اك وێرادي يێپپ.,di faj jàngoro yépp ak wéradi yépp.,Yi faj jàngoro yépp ak wéradi yépp.,Substitution,1,0,0,34,d->Y
اتتە,àtte,tàtte,Insertion,0,1,0,4,
"وو رێي چي بااتام, سانني كو چا","wu réy ci baatam, sànni ko ca","wo réy ci baatam, sànni ko ca",Substitution,1,0,0,28,u->o
"بوومي دەە, نداختە دەە مێنو كوو تێيە.","buumi dee, ndaxte dee mënu koo téye.","boomi dee, ndaxte dee mënu koo tëye.",Substitution,3,0,0,33,"é->ë, u->o, u->o"
"ياللا, با بوكك يێپپ ام چا مبێگ مو رێي.","Yàlla, ba bokk yépp am ca mbég mu réy.","Yàlla, ba bokk yépp yap ca mbég mu réy.",Substitution + insertion,1,1,0,37,m->p
خورو,xuru,xoro,Substitution,2,0,0,2,"u->o, u->o"
باال ڽێپپ ڽي نو تووڽ.تە بو نو تەگ چي يوونو ناتتو.”»,baal ñépp ñi nu tooñ.Te bu nu teg ci yoonu nattu.”»,baal ñépp ñi nu tooñ.Te bu nu teg citu.”»,Suppression,0,0,10,41,
"ام دوند گو دول جەەخ, تە بێس","am dund gu dul jeex, te bés","mam dund gu dul jeex, te bés",Insertion,0,1,0,27,
الاكە,alake,lalake,Insertion,0,1,0,5,
"واللا: “ما ڠا فالە!” بولەەن دەم, مباا ڠەەن دي لەەن توپپ.","walla: “Ma nga fale!” Buleen dem, mbaa ngeen di leen topp.","Yalla: “Ma nga fale!” buleen dem, mbaa ngeen topp.",Substitution + suppression,2,0,8,48,"B->b, w->Y"
