Wolof,Ajami_attendu,Ajami_predit,Insertions,Suppressions,Substitutions,Distance_edition
Bi waajuri Yeesu yi matalee seen warugar,بي وااجوري يەەسو يي ماتالەە سەەن واروگار,بي وااجوري يەەسو يەەسو يي ماتالەە سەەن واروگار,6,0,0,6
"tendeefal. Mu ne leen: “Lu tax ngeen yendoo tendeefal, te liggéeyiwuleen?”","تەندەەفال. مو نە لەەن: “لو تاخ ڠەەن يەندوو تەندەەفال, تە ليگگێەييوولەەن?”","تەندەەفال. مو نە لەەن: “لو تاخ ڠەەن يەندوو تەندەەفال, تە ليگگێەييوولەەني”ولەەن?”",7,0,0,7
"Bi Maryaama déggee loolu, mu daldi jóg, gaawantoo dem ca Yeesu.","بي ماريااما دێگگەە لوولو, مو دالدي جۆگ, گااوانتوو دەم چا يەەسو.","بي ماريااما دێگگەە لوولو, مو دالدي جۆگ, گاگو نا يەەسو.",0,9,2,11
"Ba ñu leen yóbboo ca Babilon, Yekoñas jur Salacel; Salacel Sorobabel,","با ڽو لەەن يۆببوو چا بابيلون, يەكوڽاس جور سالاچەل; سالاچەل سوروبابەل,","با ڽو لەەن يۆببوو چا بابيلون, يەكوڽاس جور سالالەل,",0,19,0,19
"Bi ñu eggee Yerusalem, Yeesu dugg ci","بي ڽو ەگگەە يەروسالەم, يەەسو دوگگ چي","بي ڽو ەگگەە يەروسالەم, يەەسو دەەسو دوگگ چي",6,0,0,6
"waaye su ma ko defee, bu ngeen","واايە سو ما كو دەفەە, بو ڠەەن","واايە سو ما كو دەفەە, بو نەەن",0,0,1,1
"Gannaaw loolu Yeesu dafa jàll dexu Galile, maanaam dexu Tiberyàdd.","گاننااو لوولو يەەسو دافا جالل دەخو گاليلە, مااناام دەخو تيبەريادد.","گاننااو لوولو يەەسو داەسو دافا جالل دەخو گاليلە, مااناام دەخو ديبەرياددالدا,",10,0,2,12
Nu ngi liggéeyandoo ci liggéeyu Yàlla; yéenay,نو ڠي ليگگێەياندوو چي ليگگێەيو ياللا; يێەناي,نو ڠي ليگگێەياندوو چي ليگگێەيو ياللاي يێەناي,0,0,1,1
ci sunu kaw!’te naan jànj yi: «“Suul-leen nu!»“ “,چي سونو كاو!’تە ناان جانج يي: «“سوول-لەەن نو!»“ “,چي سونو كاو!كتە ناان جانج يي: «يسوول-لەەن نو!»,0,3,2,5
saamiriyu,سااميرييو,سااميرويو,0,0,1,1
ci àddina sépp tey tudd turu sunu,چي اددينا سێپپ تەي تودد تورو سونو,چي اددينا سێپپ تەي تودد تورو سونو سونو,5,0,0,5
"ak Piyeer, daldi waaru ci li Yàlla","اك پييەەر, دالدي واارو چي لي ياللا","اك پييەەر, دالدي واارو چاارو چي لي ياللا",6,0,0,6
"nañu Yawut, mu jaxasoo ak ku mu","ناڽو ياووت, مو جاخاسوو اك كو مو","ناڽو ياووت, مو جاخاسوو اك كو مو مو",3,0,0,3
"buumi dee, ndaxte dee mënu koo téye.","بوومي دەە, نداختە دەە مێنو كوو تێيە.","بوومي دەە, نداختە دەە مەە مێە مێنو كوو تێيە.",8,0,0,8
"sax Aji Bind, ji yelloo cant ba fàww. Amiin.","ساخ اجي بيند, جي يەللوو چانت با فاوو. اميين.","ساخ اجي بيند, جي يەللوو چانت با فاوو. اميينن",0,0,1,1
"walla: “Ma nga fale!” Buleen dem, mbaa ngeen di leen topp.","واللا: “ما ڠا فالە!” بولەەن دەم, مباا ڠەەن دي لەەن توپپ.","واللا: “ما ڠا فالە!” بولەەن دەم, مباا ڠەەن دي لەەن تي لەەن توپپ.",8,0,0,8
waaye ñëw na ngir seedeel leer gi.,واايە ڽێو نا ڠير سەەدەەل لەەر گي.,واايە ڽێو نا ڠير سەەدەەل لەەر گيە,0,0,1,1
"ndax jaadu na, nu fey buur bi Sesaar galag walla déet?»","نداخ جاادو نا, نو فەي بوور بي سەساار گالاگ واللا دێەت?»","نداخ جاادو نا, نو فەي بوور بي سەساار گالاگ واللا داەت?»",0,0,1,1
"jal, wërale la. Dinañu la tëj ci biir, tanc la.","جال, وێرالە لا. ديناڽو لا تێج چي بيير, تانچ لا.","جال, وێرالە لا. ديناڽو لا تێج چي بيير, تانچ لان",0,0,1,1
"""Waaw, dama xiif.""","""وااو, داما خييف.""","""وواو, داما خييف.""",0,0,1,1
ñi déggadi ci maanduteg ñi jub. Noonu,ڽي دێگگادي چي مااندوتەگ ڽي جوب. نوونو,ڽي دێگگادي چي مااندوگەگ ڽي جوب. نوونو,0,0,1,1
"Gannaaw loolu Yeesu dem Kapernawum, ab dëkk ca diiwaanu Galile.","گاننااو لوولو يەەسو دەم كاپەرناووم, اب دێكك چا دييواانو گاليلە.","گاننااو لوولو يەەسو دەمسو دەم كاپەرناووم, اب دێكك چا دييواانو گاليلە.",6,0,0,6
jàng lii ci Mbind yi?“Doj wi tabaxkat,جاڠ ليي چي مبيند يي?“دوج وي تاباخكات,جاڠ ليي چي مبيند يي?»دوج وي تاباخكات,0,0,1,1
Ñu daldi dindi xeer wa. Yeesu xool,ڽو دالدي ديندي خەەر وا. يەەسو خوول,ڽو دالدي ديندي خەەر وا. يەەسو خوەلو خوول,6,0,0,6
yaay,ياي,يااي,1,0,0,1
"ñu ràbbe kawaru giléem, takk geñog der","ڽو راببە كاوارو گيلێەم, تاكك گەڽوگ دەر","ڽو راببە كاوارو گيلێەم, تاكك گەڽوگ دەروگ دەر",6,0,0,6
"bu bees, dees na ko def ci","بو بەەس, دەەس نا كو دەف چي","بو بەەس, دەەس, دەەس نا كو دەف چي",6,0,0,6
"moo amoon bëkk-néeg bu ñu jiiñ ne, dafay pasar-pasaree alal ji.","موو اموون بێكك-نێەگ بو ڽو جييڽ نە, دافاي پاسار-پاسارەە الال جي.","موو اموون بێكك-نێەگ بو ڽو جييڽ نە, دافاي پاسار-پارەە الال جي.",0,2,0,2
"noppi mbooloom ñi gëm ci Yerusalem, ñu yebal Barnabas ba Ancos.","نوپپي مبوولووم ڽي گێم چي يەروسالەم, ڽو يەبال بارناباس با انچوس.","نوپپي مبوولووم ڽي گێم چي يەروسالەم, ڽو يەبال با ننببا ان با ننببا ان با انچوس.",15,0,2,17
"yu baree ngi fees sa xol, nga","يو بارەە ڠي فەەس سا خول, ڠا","يو بارەە ني فەەس سا خول, ڠا",0,0,1,1
"bon lay wax, jële ko ca fa mu denc lu bon.","بون لاي واخ, جێلە كو چا فا مو دەنچ لو بون.","بون لاي واخ, جێلە كو چا فا ما مو دەنچ لو بون.",3,0,0,3
"man itam, ndaxte seedeel na ma.","مان يتام, نداختە سەەدەەل نا ما.","مان يتام, نداختە سەەدەەل نە ماەدەەل نا ما.",11,0,0,11
kenn ku dul Yeesu rekk.,كەنن كو دول يەەسو رەكك.,كەنن كو دول يەەسو رەكسو رەكك.,6,0,0,6
"Yeesu yég ci saa si ne, doole","يەەسو يێگ چي ساا سي نە, دوولە","يەەسو يێگ چي نە, دوولە",0,7,0,7
"""Waaw, dama nangou.""","""وااو, داما ناڠوو.""","""وواو, داما ناڠوو.""",0,0,1,1
"Léegi kat loraangee ngi nuy yoot, te","لێەگي كات لورااڠەە ڠي نوي يووت, تە","لێەگي كات لورااڠەە ني نوي يووت, تە",0,0,1,1
“Li nu yor du doy ngir nun,“لي نو يور دو دوي ڠير نون,“لي نو يور دو دوي ڠير نون نون,4,0,0,4
Fatou maa ngi jàng wolof,فاتوو ماا ڠي جاڠ وولوف,ڠاتوو ماا ڠي جاڠ وولوف,0,0,1,1
"jàll dex ga, dellu dëkkam.","جالل دەخ گا, دەللو دێككام.","جالل دەخ گا, دەللو دێللو دێككام.",6,0,0,6
"Yàlla yu nëbbu ya, maanaam dooleem ju","ياللا يو نێببو يا, مااناام دوولەەم جو","ياللا يو نێببو يا, مااناام دوولەەم جوولەەم جو",8,0,0,8
Bi Erodd boroom diiwaanu Galile déggee li,بي ەرودد بورووم دييواانو گاليلە دێگگەە لي,بي ەرودد بورووم دييواانو گاليلە دێگگەە لێگگەە لي,7,0,0,7
"jolli na ci ñeenti xebla yépp,seen wax wër na àddina sépp.»","جوللي نا چي ڽەەنتي خەبلا يێپپ,سەەن واخ وێر نا اددينا سێپپ.»","جوللي نا چي ڽەەنتي خەبلا يێپپ,سەەن واخ وێر نا اددينا سدێي نا اددينا سدێي نا اددينا سدێي نا اددينا س",40,0,4,44
génnleen,گێننلەەن,گێننەەن,0,1,0,1
avons,اڤونس,اسونس,0,0,1,1
"mi, mu yilif ko moom ak askanam, fekk booba amagul doom.","مي, مو ييليف كو مووم اك اسكانام, فەكك بووبا اماگول دووم.","مي, مو ييليف كو مووم اك اسكانام, فەكك بەكك بووبا اماگول دووم.",5,0,0,5
"ko yéenee bindal, nettali la ni xew-xew yooyu deme woon tembe.","كو يێەنەە بيندال, نەتتالي لا ني خەو-خەو يوويو دەمە ووون تەمبە.","كو يێەنەە بيندال, نەتتالي لا ني خەو-خەو يوويو دەمبە.",0,10,0,10
Ndaxte ci sama biir xol yoonu Yàlla wi neex na ma.,نداختە چي ساما بيير خول يوونو ياللا وي نەەخ نا ما.,نداختە چي ساما بيير خول يولنا وي نەەخ نا ما.,0,6,1,7
"mi di saxe ci tool yi. Duñu liggéey, duñu ëcc,","مي دي ساخە چي توول يي. دوڽو ليگگێەي, دوڽو ێچچ,","مي دي ساخە چي توول يي. دوڽو ليگگێەي, دوڽو ێچي, چي گێەي, دوڽو ێچچ,",19,0,0,19
wi,وي,وو,0,0,1,1
doon wottu alalu Erodd; ak Susànn ak,دوون ووتتو الالو ەرودد; اك سوسانن اك,دوون ووتتو الالو ەرالو ەرودد; اك سوسانن اك,6,0,0,6
"di xamle mbirum Doomam, Yeesu Kirist sunu","دي خاملە مبيروم دوومام, يەەسو كيريست سونو","دي خاملە مبيروم دوومام, يەەسو كيرەسو كيريست سونو",7,0,0,7
te ñaanal ñi leen di sonal.,تە ڽاانال ڽي لەەن دي سونال.,تە ڽاانال لي لەەن دي سونال.,0,0,1,1
"su laalee mbubbam rekk, dina wér. Mu","سو لاالەە مبوببام رەكك, دينا وێر. مو","سو لاالەە مبوببام رەكك, ديكا وێر. مو",0,0,1,1
"Bu taalibe yemee ak kilifaam demin, doy","بو تااليبە يەمەە اك كيليفاام دەمين, دوي","بو تااليبە يەمەە اك كيليفاام دەمين, دوم",0,0,1,1
Gannaaw loolu Yeesu doon dox ca tefesu,گاننااو لوولو يەەسو دوون دوخ چا تەفەسو,گاننااو لوولو يەەسو دەەسو دوون دوخ چا تەفەسو,6,0,0,6
surga bu baax nga te takku. Gannaaw,سورگا بو بااخ ڠا تە تاككو. گاننااو,سورگا بو بااخ نا تە تاككو. گاننااو,0,0,1,1
"ku ma teg samay loxo, nga jot Xel mu Sell mi.»","كو ما تەگ ساماي لوخو, ڠا جوت خەل مو سەلل مي.»","كو ما تەگ ساماي لوخو, ڠا جوت خەل مو سەلل مو.»",0,0,1,1
"Lafañ bi xool leen, yaakaar ne dina jot dara ci ñoom.","لافاڽ بي خوول لەەن, يااكاار نە دينا جوت دارا چي ڽووم.","لافاڽ بي خوول لەەن, يااكاار نە دي ادا جوت دارا چي ڽووم.",2,0,1,3
njiitu mbooloo mu ñuy wax Nasaréen.,نجييتو مبوولوو مو ڽوي واخ ناسارێەن.,نجييتو مبوولوو مو ڽوي واخ ناساراەسێ,0,0,3,3
"mbir,ñu leewu la ci seeni loxo,ngir nga","مبير,ڽو لەەوو لا چي سەەني لوخو,ڠير ڠا","مبير,ڽو لەەوو لاەوو لا چي سەەني لوخو,ڠير ڠا",6,0,0,6
"Waaye demleen ci bànni Israyil, ñoom ñi réer niy xar.","واايە دەملەەن چي بانني يسراييل, ڽووم ڽي رێەر نيي خار.","واايە دەملەەن چي بانني يسراييل, ڽووم ڽي رار.",0,9,0,9
ay xiif ak ay yengu-yenguy suuf ci bérab yu bare.,اي خييف اك اي يەڠو-يەڠوي سووف چي بێراب يو بارە.,اي خييف اك اي يەڠو-يەڠوي سووف چي بارە.,0,9,0,9
"bés mu ne ci xelam: “Ragaluma Yàlla te faalewuma mbindeef,","بێس مو نە چي خەلام: “راگالوما ياللا تە فاالەووما مبيندەەف,",بێس مو نە چي خەلام: “راگالوما ياللا تە فاالەووما مبيندەەفو,0,0,1,1
"ñëw dimbali leen. Ñooñu agsi, ñu feesal","ڽێو ديمبالي لەەن. ڽووڽو اگسي, ڽو فەەسال","ڽێو ديمبالي لەەن. ڽەەن. ڽووڽو اگسي, ڽو فەەسال",6,0,0,6
Gannaaw loolu Yeesu woo ci moom taalibeem,گاننااو لوولو يەەسو ووو چي مووم تااليبەەم,گاننااو لوولو يەەسو وەەسو ووو چي مووم تااليبەەم,6,0,0,6
Ci kaw loolu Yeesu tontu ko ne:,چي كاو لوولو يەەسو تونتو كو نە:,چي كاو لوولو يەەسو تەەسو تونتو كو نە:,6,0,0,6
"baat bu ma ne: “Sool, Sool, lu","باات بو ما نە: “سوول, سوول, لو","باات بو ما نە: “سوول, سوول, لوول, لو",6,0,0,6
nootaange,نووتااڠە,نووتاانە,0,0,1,1
"Noonu Farisen ya laaj leen: «Mbaa naxuñu leen, yéen itam?","نوونو فاريسەن يا لااج لەەن: «مباا ناخوڽو لەەن, يێەن يتام?","نوونو فاريسەن يا لااج لەەن: «مباا ناخوڽو لەەن, يێەن,ييام?",0,0,2,2
Gannaaw loolu Yeesu feeñu ñaar ci ñoom,گاننااو لوولو يەەسو فەەڽو ڽاار چي ڽووم,گاننااو لوولو يەەسو فەەسو فەەڽو ڽاار چي ڽووم,6,0,0,6
"jóge fa ak i taalibeem, jàll xuru Sedoron, dugg cib tool.","جۆگە فا اك ي تااليبەەم, جالل خورو سەدورون, دوگگ چيب توول.","جۆگە فا اك ي تااليبەەم, جالل خورو سەدورو ,ەدورو , دووگ چيب توول.",7,0,2,9
"garab ga, kon boog yéen itam man na leen a fàq.","گاراب گا, كون بووگ يێەن يتام مان نا لەەن ا فاق.","گاراب گا, كون بووگ يێەن يتام مان نا لەەن ا فەەن ا فاق.",7,0,0,7
Yeesu xool ay taalibeem ne leen:«Yéen ñi,يەەسو خوول اي تااليبەەم نە لەەن:«يێەن ڽي,يەەسو خوول اي تااليبەەم نە لەەن:«يێەن:ڽي,0,0,1,1
nangoo laal sëf bi sax ak seen cati baaraam.,ناڠوو لاال سێف بي ساخ اك سەەن چاتي بااراام.,نانوو لاال سێف بي ساخ اك سەەن چاتي بااراام.,0,0,1,1
"Noonu Yeesu taxaw, daldi ne: «Wooleen ko!»","نوونو يەەسو تاخاو, دالدي نە: «ووولەەن كو!»","نوونو يەەسو تاخاو, داخاو, دالدي نە: «ووولەەن كو!»",7,0,0,7
"Ibraayma, waaye su kenn dekkee, dem ca","يبراايما, واايە سو كەنن دەككەە, دەم چا","يبراايما, واايە سو كەنن دەككەە, دەمكەە, دەم چا",8,0,0,8
"war na sonn lu bare, ñu xeeb ko, dëddu ko.","وار نا سونن لو بارە, ڽو خەەب كو, دێددو كو.","وار نا سونن لو بارە, ڽو خەەب كو خەەب كو, دێددو كو.",8,0,0,8
Gannaaw Yàlla baalul car ya cosaanoo ca,گاننااو ياللا باالول چار يا چوساانوو چا,گاننااو ياللا باالول چار يا چو اا چي چا,0,0,4,4
"nag, mu daldi gëm, di yéemu ci yoonu Boroom bi.","ناگ, مو دالدي گێم, دي يێەمو چي يوونو بورووم بي.","ناگ, مو دالدي گێم, دي يێەمو چي يوونو بورووم بير",0,0,1,1
"ak Yeesu, fekk ñuy naqarlu, di jooy.","اك يەەسو, فەكك ڽوي ناقارلو, دي جووي.","اك يەەسو, فەكك ڽوك ناقارلو, دي جووي.",0,0,1,1
